policy,gold_sla_violation_rate,gold_avg_scheduling_delay,gold_avg_scheduling_delay_scheduled_only,n_gold_unscheduled,bronze_avg_completion_time,cpu_utilization,mem_utilization,gold_avg_waiting_time,bronze_avg_waiting_time,throughput,n_gold_scheduled,n_bronze_scheduled,n_scheduled,n_unscheduled,sim_time,steps,total_reward,late_gold_avg_delay,late_gold_scheduled
FCFS,0.9921671018276762,746.0744125326371,746.0744125326371,0,1263.7413712514453,0.9598958333333333,0.7402475630730797,746.0744125326371,1018.8638834903687,0.9247988423845125,1532,40649,42181,0,45611.0,43598,1788.885580609636,33.5,20
RoundRobin,0.9843342036553525,1453.6109660574411,1453.6109660574411,0,1237.0753770080444,0.9598958333333333,0.7402475630730797,1453.6109660574411,992.197889246968,0.9247988423845125,1532,40649,42181,0,45611.0,43602,1759.0291246436122,0.8,20
StaticPriority,0.9830287206266318,745.6422976501306,745.6422976501306,0,1263.7576570149326,0.9598958333333333,0.7402475630730797,745.6422976501306,1018.8801692538561,0.9247988423845125,1532,40649,42181,0,45611.0,43602,1789.0303847732189,0.4,20
ResourceReservation,0.9830287206266318,745.6422976501306,745.6422976501306,0,1263.7576570149326,0.9598958333333333,0.7402475630730797,745.6422976501306,1018.8801692538561,0.9247988423845125,1532,40649,42181,0,45611.0,43602,1789.0303847732189,0.4,20
DQN,0.9934725848563969,828.8159268929504,828.8159268929504,0,7865.329914987218,0.9650416666666666,0.7461784543835757,828.8159268929504,7268.855174789048,0.7516775654998504,1532,33642,35174,7007,46794.0,38081,-8694.027341951713,614.05,20
