episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,939.0535248041775,1164.2078033899973,477.05,0,24989.0,10204.0,43577,42181,0,1396
5,986.2741514360313,1010.735491648011,95.1,1,46794.0,23884.0,43714,42180,0,1534
10,942.2297650130548,9908.717164013875,1369.85,10871,46794.0,17222.0,36702,31310,0,5392
15,808.0718015665797,1071.7242736598687,29.55,9,46794.0,28849.0,43801,42172,0,1629
20,979.7963446475196,3734.412777682108,1405.0,4835,24042.0,10627.0,39293,37346,0,1947
25,1913.996083550914,3842.8996777288494,2142.6,5344,22087.0,32815.0,38597,36837,0,1760
30,776.1103133159269,1772.6723904647101,70.1,701,46794.0,4161.0,43559,41480,0,2079
35,902.6860313315927,1075.7015424733695,652.7,7,46794.0,6106.0,43830,42174,0,1656
40,766.7114882506528,1052.5308863686685,499.8,8,2028.0,34849.0,43641,42173,0,1468
45,751.8909921671018,1176.1376417624049,13.85,6,1870.0,35681.0,43792,42175,0,1617
50,1016.8426892950391,23964.527540652907,562.55,37369,1789.0,44643.0,11547,4812,0,6735
