episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,860.5855091383812,5408.2467711382815,613.85,4057,46794.0,46752.0,41922,38124,0,3798
5,1069.479765013055,8673.668774139585,681.15,4326,46794.0,34563.0,39376,37855,0,1521
10,825.5646214099216,1018.0283893822726,122.4,7,46794.0,3610.0,43729,42174,0,1555
15,1108.892950391645,1165.4244138847205,618.7,5,23143.0,35034.0,43871,42176,0,1695
20,825.8426892950391,1176.7861448006101,541.75,2,23447.0,34243.0,44074,42179,0,1895
25,1099.4738903394257,1012.0554011168787,56.6,3,37462.0,6176.0,43754,42178,0,1576
30,804.315274151436,1074.0063962213092,21.1,9,46794.0,3610.0,43617,42172,0,1445
35,747.0763707571801,1106.0839873059608,110.25,0,1511.0,19736.0,43732,42181,0,1551
40,846.1599216710183,1141.9316834362469,1864.35,4,37255.0,25436.0,43803,42177,0,1626
45,920.1514360313316,1012.3031808900588,7.35,0,23394.0,23319.0,43606,42181,0,1425
50,1747.2584856396868,981.1315653521611,103.85,0,2613.0,24201.0,43599,42181,0,1418
