episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,1244.4392950391646,9740.477822332652,2099.75,11221,12269.0,26714.0,36040,30960,0,5080
5,1067.9079634464752,1512.4856946050334,1814.85,6,36541.0,30112.0,43488,42175,0,1313
10,820.2323759791122,1016.6623533174247,509.8,1,37485.0,6179.0,43725,42180,0,1545
15,809.7173629242819,1017.7089227287264,647.35,3,34766.0,9501.0,43686,42178,0,1508
20,905.4673629242819,1013.8628502546188,9.85,1,46794.0,23047.0,43724,42180,0,1544
25,790.1481723237598,1017.7391817756894,113.55,1,46794.0,6233.0,43708,42180,0,1528
30,752.4869451697128,1182.1953307584442,524.7,1,3106.0,34520.0,43895,42180,0,1715
35,800.3812010443864,1017.0015744544761,247.9,0,10380.0,4966.0,43604,42181,0,1423
40,820.72454308094,1016.7948535019311,405.9,0,2130.0,24949.0,43600,42181,0,1419
45,951.8544386422976,1011.5899776132254,186.95,0,1726.0,24805.0,43586,42181,0,1405
50,978.6566579634465,4605.179979827302,622.85,6461,23450.0,11489.0,37511,35720,0,1791
