episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,1081.6566579634464,1281.3472656153904,926.3,1,26427.0,24798.0,43455,42180,0,1275
5,973.894908616188,1093.600457575832,148.9,3,46794.0,5192.0,43707,42178,0,1529
10,910.4118798955614,3229.582252945952,1254.65,2001,46794.0,13287.0,42940,40180,0,2760
15,906.0522193211489,1112.1694506629929,1553.3,0,20092.0,7977.0,43733,42181,0,1552
20,796.6259791122716,1020.9590149819184,80.7,2,20120.0,6367.0,43744,42179,0,1565
25,847.1129242819843,1016.1286624517209,95.2,2,46794.0,2426.0,43737,42179,0,1558
30,766.2199738903395,1018.8597259465178,662.15,1,16440.0,11935.0,43716,42180,0,1536
35,812.6181462140992,1017.3705380206155,69.9,0,45612.0,2427.0,43609,42181,0,1428
40,834.5718015665797,1025.0156707422077,1773.15,8,46794.0,31821.0,43680,42173,0,1507
45,749.3511749347258,3108.4083495288937,284.5,984,1511.0,34577.0,43596,41197,0,2399
50,824.9027415143603,1017.1247509163817,807.05,0,2960.0,24638.0,43611,42181,0,1430
