policy,gold_sla_violation_rate,gold_avg_scheduling_delay,gold_avg_scheduling_delay_scheduled_only,n_gold_unscheduled,bronze_avg_completion_time,cpu_utilization,mem_utilization,gold_avg_waiting_time,bronze_avg_waiting_time,throughput,n_gold_scheduled,n_bronze_scheduled,n_scheduled,n_unscheduled,sim_time,steps,total_reward,late_gold_avg_delay,late_gold_scheduled
FCFS,0.9921671018276762,746.0744125326371,746.0744125326371,0,1263.7413712514453,0.9598958333333333,0.7402475630730797,746.0744125326371,1018.8638834903687,0.9247988423845125,1532,40649,42181,0,45611.0,43598,1788.885580609636,33.5,20
RoundRobin,0.9843342036553525,1453.6109660574411,1453.6109660574411,0,1237.0753770080444,0.9598958333333333,0.7402475630730797,1453.6109660574411,992.197889246968,0.9247988423845125,1532,40649,42181,0,45611.0,43602,1759.0291246436122,0.8,20
StaticPriority,0.9830287206266318,745.6422976501306,745.6422976501306,0,1263.7576570149326,0.9598958333333333,0.7402475630730797,745.6422976501306,1018.8801692538561,0.9247988423845125,1532,40649,42181,0,45611.0,43602,1789.0303847732189,0.4,20
ResourceReservation,0.9830287206266318,745.6422976501306,745.6422976501306,0,1263.7576570149326,0.9598958333333333,0.7402475630730797,745.6422976501306,1018.8801692538561,0.9247988423845125,1532,40649,42181,0,45611.0,43602,1789.0303847732189,0.4,20
DQN,0.9836814621409922,5785.019582245431,5758.233834095363,1,1767.88066127088,0.9515625,0.7307594445147646,5785.019582245431,1523.0031735098034,0.9013976150788563,1531,40649,42180,1,46794.0,43727,1231.8685520938227,0.4,20
