episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,18434.0045691906,605.1962655907895,2520.45,7,46794.0,34190.0,43048,42174,0,874
5,869.193864229765,1061.9799749071317,1435.75,8,34555.0,23788.0,43680,42173,0,1507
10,922.7578328981723,23829.68171418731,6799.45,35885,37462.0,44312.0,12564,6296,0,6268
15,780.936684073107,3549.646559570961,1215.2,1157,23023.0,31532.0,43038,41024,0,2014
20,900.2793733681463,3427.4279318064405,1789.85,7119,20111.0,24388.0,37653,35062,0,2591
25,786.0430809399478,1038.8584467022558,593.5,4,24986.0,3610.0,43728,42177,0,1551
30,1149.376631853786,1010.444094565672,629.05,8,28817.0,3610.0,43728,42173,0,1555
35,1001.0274151436031,1014.0257570911954,199.4,4,1777.0,10546.0,43718,42177,0,1541
40,856.806135770235,1028.7584442421708,501.95,8,46794.0,3610.0,43705,42173,0,1532
45,787.5685378590078,1029.566680607149,165.8,4,24964.0,6377.0,43681,42177,0,1504
50,771.2643603133159,1026.890280203695,188.65,9,1535.0,24907.0,43658,42172,0,1486
