gold_sla_violation_rate,gold_avg_scheduling_delay,gold_avg_scheduling_delay_scheduled_only,n_gold_unscheduled,bronze_avg_completion_time,cpu_utilization,mem_utilization,gold_avg_waiting_time,bronze_avg_waiting_time,throughput,n_gold_scheduled,n_bronze_scheduled,n_scheduled,n_unscheduled,sim_time,steps,total_reward,late_gold_avg_delay,late_gold_scheduled,seed,all_sanity_checks_passed
0.9941253263707572,762.0450391644908,762.0450391644908,0.0,1267.1696562584582,0.9532291666666668,0.7328735277806068,762.0450391644908,1022.9771950109474,0.901248023250844,1532.0,40641.0,42173.0,8.0,46794.0,43739.0,-30560.839788021967,67.4,20.0,0,True
0.9947780678851176,747.1932114882507,747.1932114882507,0.0,1263.90506531526,0.9598958333333332,0.7406930551961732,747.1932114882507,1019.0275775541834,0.9247988423845124,1532.0,40649.0,42181.0,0.0,45611.0,43595.0,-36915.316981550575,119.2,20.0,1,True
0.9921671018276762,1001.0274151436032,1001.0274151436032,0.0,1258.646131135441,0.95328125,0.7329799201220452,1001.0274151436032,1014.0257570911954,0.9013335042954224,1532.0,40645.0,42177.0,4.0,46794.0,43718.0,-6604.006874713311,199.4,20.0,2,True
0.9836814621409922,5785.019582245431,5758.233834095363,1.0,1767.88066127088,0.9515625,0.7307594445147646,5785.019582245431,1523.0031735098034,0.9013976150788564,1531.0,40649.0,42180.0,1.0,46794.0,43727.0,1231.8685520938227,0.4,20.0,3,True
0.9934725848563968,828.8159268929504,828.8159268929504,0.0,7865.329914987218,0.9650416666666666,0.7461784543835757,828.8159268929504,7268.855174789048,0.7516775654998504,1532.0,33642.0,35174.0,7007.0,46794.0,38081.0,-8694.027341951713,614.05,20.0,4,True
0.9954308093994778,1016.8426892950392,1016.8426892950392,0.0,32904.5012195122,0.951171875,0.7290621907522169,1016.8426892950392,23964.527540652907,0.1028336966277728,1532.0,3280.0,4812.0,37369.0,46794.0,11547.0,-20962.909604924305,562.55,20.0,5,True
0.9947780678851176,747.0763707571801,747.0763707571801,0.0,1350.961475067037,0.95984375,0.7401411707316412,747.0763707571801,1106.0839873059608,0.9164602615912744,1532.0,40649.0,42181.0,0.0,46026.0,43732.0,-23503.19446648744,110.25,20.0,6,True
0.987597911227154,1134.8518276762402,1134.8518276762402,0.0,33492.81679059312,0.9560625,0.7352967750787337,1134.8518276762402,22712.73834534675,0.2799076804718554,1532.0,11566.0,13098.0,29083.0,46794.0,18269.0,-12585.685814567796,586.95,20.0,7,True
0.9941253263707572,820.72454308094,820.72454308094,0.0,1261.6723412630076,0.9598854166666666,0.7403450435075221,820.72454308094,1016.7948535019312,0.9247988423845124,1532.0,40649.0,42181.0,0.0,45611.0,43600.0,-37613.48340988262,405.9,20.0,8,True
0.9934725848563968,749.3511749347258,749.3511749347258,0.0,3334.108987772596,0.95921875,0.7394783519499043,749.3511749347258,3108.4083495288937,0.8803906483737232,1532.0,39665.0,41197.0,984.0,46794.0,43596.0,-55422.88235090244,284.5,20.0,9,True
