episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,1381.677545691906,2736.191001008635,1045.2,1487,12269.0,8124.0,42499,40694,0,1805
5,866.5306788511749,1019.0195084749932,91.8,9,46794.0,6386.0,43692,42172,0,1520
10,900.6749347258485,1018.4288174370834,2.75,3,46794.0,20083.0,43719,42178,0,1541
15,881.4079634464752,6151.62584565426,1573.05,1581,46794.0,34629.0,41715,40600,0,1115
20,814.2369451697128,1037.326428694433,559.2,8,26756.0,38118.0,43794,42173,0,1621
25,763.4040469973891,1020.1890329405397,246.65,6,1564.0,24958.0,43698,42175,0,1523
30,828.8159268929504,7268.855174789048,614.05,7007,2272.0,36637.0,38081,35174,0,2907
35,759.7454308093995,5733.590346625993,930.95,8959,2179.0,38047.0,36997,33222,0,3775
40,987.5757180156658,1380.0534330487835,475.4,10,2363.0,45354.0,44107,42171,0,1936
45,766.436684073107,1018.2853452729464,93.25,0,24092.0,5193.0,43619,42181,0,1438
50,749.4719321148825,1035.904696302492,67.7,9,1514.0,20272.0,43714,42172,0,1542
