episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,843.2362924281985,1108.705380206155,1480.2,1,39066.0,24902.0,43811,42180,0,1631
5,955.9595300261096,1013.1733129966296,1383.7,4,37479.0,34679.0,43707,42177,0,1530
10,840.6586161879895,1015.8051612585796,166.75,0,37462.0,2680.0,43599,42181,0,1418
15,778.878590078329,1018.3983123816084,530.25,1,37482.0,7084.0,43719,42180,0,1539
20,1062.3883812010445,1007.4788555684027,110.4,1,46794.0,5193.0,43729,42180,0,1549
25,904.8635770234987,1016.174912051957,122.3,0,24991.0,20054.0,43636,42181,0,1455
30,1096.75,3968.373490122758,2097.55,6092,24991.0,19506.0,38049,36089,0,1960
35,780.8368146214099,3525.6489212526753,1429.7,3527,7299.0,42469.0,41770,38654,0,3116
40,794.9314621409922,1354.1543457403627,371.0,457,31376.0,24916.0,43477,41724,0,1753
45,818.5946475195823,1429.2848286550716,1751.75,317,37462.0,31150.0,43553,41864,0,1689
50,747.1932114882507,1019.0275775541834,119.2,0,1511.0,24986.0,43595,42181,0,1414
