episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,858.1990861618799,4119.023912027356,1570.0,3883,19830.0,19789.0,40304,38298,0,2006
5,1150.0946475195822,2635.7102265738395,1309.3,687,46794.0,22681.0,43221,41494,0,1727
10,984.4882506527415,23079.585647863416,5643.15,28993,46794.0,46718.0,18392,13188,0,5204
15,812.2030026109661,1352.2068439568009,31.75,4,46794.0,16400.0,43749,42177,0,1572
20,762.0450391644908,1022.9771950109474,67.4,8,1960.0,19540.0,43739,42173,0,1566
25,1192.0300261096606,2192.0980835936925,1631.3,8125,46794.0,9723.0,37049,34056,0,2993
30,887.2356396866841,24147.15060641098,1858.2,37149,46794.0,46667.0,11575,5032,0,6543
35,849.1377284595301,4188.272036212453,830.0,4789,19741.0,38545.0,40114,37392,0,2722
40,810.2258485639687,1122.4057418386676,828.9,0,26804.0,2740.0,43503,42181,0,1322
45,772.9386422976502,1057.0092745208983,1380.35,0,4269.0,26235.0,43643,42181,0,1462
50,4362.804177545692,24980.3184826195,9560.15,40787,46794.0,46789.0,8274,1394,0,6880
