episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,2872.9575718015667,939.041550837659,118.45,0,37462.0,5192.0,43594,42181,0,1413
5,809.3668407310705,1017.3813131934365,170.3,0,24988.0,24948.0,43615,42181,0,1434
10,799.6533942558747,1017.2320106275677,98.25,0,24986.0,14418.0,43621,42181,0,1440
15,818.458224543081,6514.636793033039,1882.2,7659,36979.0,33657.0,39362,34522,0,4840
20,791.3753263707572,1017.4899751531403,72.45,8,14026.0,18855.0,43696,42173,0,1523
25,804.0567885117493,3433.704937390834,1460.6,4319,24986.0,17370.0,39261,37862,0,1399
30,1134.8518276762402,22712.73834534675,586.95,29083,11286.0,35632.0,18269,13098,0,5171
35,761.6103133159269,1456.9216462889617,347.05,0,2068.0,28627.0,43601,42181,0,1420
40,1200.5189295039165,1003.2538807842751,339.6,0,24983.0,14318.0,43578,42181,0,1397
45,1176.0150130548302,22791.174715245146,613.95,28237,46794.0,35076.0,18970,13944,0,5026
50,787.0306788511749,1577.8124677113829,1297.8,2057,37482.0,5471.0,42413,40124,0,2289
