episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,836.5385117493472,1115.7448153706118,1791.05,1,43703,42180,0,1523
5,1652.1351174934725,986.4135403084947,188.75,1,43725,42180,0,1545
10,968.1625326370757,1085.1782085660163,280.1,7,43965,42174,0,1791
15,791.5319843342037,1027.5801372727497,319.7,6,43738,42175,0,1563
20,931.3250652741515,1589.8838347806834,1451.75,1,43604,42180,0,1424
25,748.7787206266319,1026.8798494427908,237.25,0,43688,42181,0,1507
30,831.1305483028721,1058.592388496642,187.85,8,43680,42173,0,1507
35,888.998041775457,1014.0090531132378,27.6,0,43593,42181,0,1412
40,764.7552219321149,1019.4402568328865,133.35,5,43710,42176,0,1534
45,1236.1383812010445,1016.5253265762996,54.4,0,43594,42181,0,1413
50,1195.833550913838,24038.478240547123,672.9,38566,10345,3615,0,6730
