episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,18434.0045691906,605.1962655907895,2520.45,7,43048,42174,0,874
5,869.193864229765,1061.9799749071317,1435.75,8,43680,42173,0,1507
10,1038.2369451697127,24814.771950109473,7141.45,40325,8741,1856,0,6885
15,782.1024804177546,1195.2467711382815,615.3,1,43544,42180,0,1364
20,771.3054830287206,1023.4764446849861,148.05,0,43632,42181,0,1451
25,767.4810704960836,1771.8286058697631,604.4,2843,41694,39338,0,2356
30,747.3080939947781,1036.6664616595733,120.5,9,43716,42172,0,1544
35,759.6879895561358,1666.8583975005536,483.8,8,43857,42173,0,1684
40,1042.9941253263707,1011.3947944598883,140.55,2,43694,42179,0,1515
45,9114.571801566579,24408.50170975916,9560.15,40434,8564,1747,0,6817
50,767.9712793733681,1018.2490344165908,87.05,1,43732,42180,0,1552
