policy,gold_sla_violation_rate,gold_avg_scheduling_delay,gold_avg_scheduling_delay_scheduled_only,n_gold_unscheduled,bronze_avg_completion_time,cpu_utilization,mem_utilization,gold_avg_waiting_time,bronze_avg_waiting_time,throughput,n_gold_scheduled,n_bronze_scheduled,n_scheduled,n_unscheduled,sim_time,steps,total_reward,late_gold_avg_delay,late_gold_scheduled
FCFS,0.9921671018276762,746.0744125326371,746.0744125326371,0,1263.7413712514451,0.9598958333333332,0.7402475630730797,746.0744125326371,1018.8638834903688,0.9247988423845124,1532,40649,42181,0,45611.0,43598,1788.8856942709738,33.5,20
RoundRobin,0.9843342036553524,1453.6109660574411,1453.6109660574411,0,1237.0753770080444,0.9598958333333332,0.7402475630730797,1453.6109660574411,992.197889246968,0.9247988423845124,1532,40649,42181,0,45611.0,43602,1759.0292536900183,0.8,20
StaticPriority,0.9830287206266318,745.6422976501306,745.6422976501306,0,1263.7576570149326,0.9598958333333332,0.7402475630730797,745.6422976501306,1018.880169253856,0.9247988423845124,1532,40649,42181,0,45611.0,43602,1789.0305210422705,0.4,20
ResourceReservation,0.9830287206266318,745.6422976501306,745.6422976501306,0,1263.7576570149326,0.9598958333333332,0.7402475630730797,745.6422976501306,1018.880169253856,0.9247988423845124,1532,40649,42181,0,45611.0,43602,1789.0305210422705,0.4,20
DQN,0.9947780678851176,805.2415143603133,780.1801566579635,0,1264.9768259981795,0.9599375,0.7407200317795134,805.2415143603133,1016.633963935152,0.9247988423845124,1532,40649,42181,0,45611.0,43602,1787.3856932427416,7.0,20
