episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,5785.019582245431,1523.0031735098034,0.4,1,43727,42180,0,1547
5,1108.5176240208878,1006.2476075672218,0.4,1,43711,42180,0,1531
10,821.2513054830288,1016.566951216512,54.55,1,43726,42180,0,1546
15,809.7232375979112,1017.001426849369,524.9,1,43712,42180,0,1532
20,967.5835509138382,1051.0328667371891,128.15,3,43831,42178,0,1653
25,755.7030026109661,1044.2366847892938,110.6,0,43728,42181,0,1547
30,763.6599216710183,1154.2468941425373,336.2,1374,42370,40807,0,1563
35,760.4954308093995,1018.5938645477133,146.15,0,43599,42181,0,1418
40,794.1096605744125,1345.3212133139807,1567.7,94,43708,42087,0,1621
45,774.3342036553524,1140.1200767546557,894.6,8,43884,42173,0,1711
50,819.7832898172323,21342.556618859013,290.8,25139,22934,17042,0,5892
