episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,927.5835509138382,5372.727889984993,621.6,5732,40034,36449,0,3585
5,950.0776762402089,1586.2265738394549,1717.95,1167,42815,41014,0,1801
10,832.0261096605744,1159.5529041304828,251.35,849,43084,41332,0,1752
15,860.7813315926893,3336.751580604689,1023.7,1814,42627,40367,0,2260
20,955.0300261096605,1020.2325272454427,3.4,5,43717,42176,0,1541
25,1207.206266318538,1022.5347487023051,1819.7,4,43721,42177,0,1544
30,797.8426892950391,18390.11006420822,1128.2,24333,22737,17848,0,4889
35,773.2682767624021,4046.7137936972617,704.9,3643,41079,38538,0,2541
40,857.8583550913838,5174.030062240154,231.45,8959,36193,33222,0,2971
45,778.0731070496083,1285.0022632783093,626.7,8,43750,42173,0,1577
50,877.8191906005222,5482.5720189918575,177.45,4789,39790,37392,0,2398
