episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,843.2362924281985,1108.705380206155,1480.2,1,43811,42180,0,1631
5,964.0913838120105,1012.8009791138774,1578.4,4,43706,42177,0,1529
10,824.0646214099216,1021.6377278653841,139.9,8,43726,42173,0,1553
15,802.3772845953002,1108.4914512042117,920.8,21,43775,42160,0,1615
20,864.6161879895561,3944.664690398288,1454.35,12332,32768,29849,0,2919
25,778.081592689295,1095.133508819405,215.6,9,43737,42172,0,1565
30,800.396866840731,1172.4262589485595,580.35,0,43794,42181,0,1613
35,1307.2421671018276,1005.4011906811976,179.8,8,43745,42173,0,1572
40,746.8720626631854,1026.38655317474,94.6,0,43610,42181,0,1429
45,746.9843342036554,1019.1722305591774,103.2,0,43609,42181,0,1428
50,748.4719321148825,1018.808211764127,124.45,0,43597,42181,0,1416
