episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,1081.6566579634464,1281.3472656153904,926.3,1,43455,42180,0,1275
5,867.6129242819843,1016.6886762281976,742.6,3,43733,42178,0,1555
10,799.5496083550914,2800.75015375532,847.05,1234,42920,40947,0,1973
15,803.8009138381201,1019.5905434328027,77.8,5,43715,42176,0,1539
20,798.8159268929504,23143.9979335285,1660.55,29458,17931,12723,0,5208
25,823.4947780678851,1016.8844990036655,308.5,0,43603,42181,0,1422
30,792.1821148825065,1254.2444094565672,127.3,3360,40585,38821,0,1764
35,1175.4634464751957,1003.1724765676893,41.85,0,43593,42181,0,1412
40,805.2415143603133,1016.6339639351521,7.0,0,43602,42181,0,1421
45,796.5750652741515,1037.9941941991192,482.8,0,43633,42181,0,1452
50,780.1801566579635,1020.099338237103,304.35,0,43594,42181,0,1413
