episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,2872.9575718015667,939.041550837659,118.45,0,43594,42181,0,1413
5,1010.5319843342037,1835.383601072597,1220.75,199,43528,41982,0,1546
10,2943.078328981723,980.597062658368,146.85,0,43856,42181,0,1675
15,797.6057441253264,1023.3747939678713,595.5,0,43614,42181,0,1433
20,773.8492167101828,1017.9117321459322,112.0,0,43628,42181,0,1447
25,806.2800261096605,1164.2993185564221,274.9,0,43877,42181,0,1696
30,887.1129242819843,1019.6709390144899,93.55,0,43630,42181,0,1449
35,751.3080939947781,1049.0027060936309,204.05,0,43542,42181,0,1361
40,976.338772845953,1033.7195748972915,237.2,3,43780,42178,0,1602
45,865.5620104438642,24954.165883539572,4.45,40604,8432,1577,0,6855
50,1071.0293733681463,1124.9667150483406,213.7,0,43759,42181,0,1578
