policy,gold_sla_violation_rate,gold_avg_scheduling_delay,gold_avg_scheduling_delay_scheduled_only,n_gold_unscheduled,bronze_avg_completion_time,cpu_utilization,mem_utilization,gold_avg_waiting_time,bronze_avg_waiting_time,throughput,n_gold_scheduled,n_bronze_scheduled,n_scheduled,n_unscheduled,sim_time,steps,total_reward,late_gold_avg_delay,late_gold_scheduled
FCFS,0.9921671018276762,746.0744125326371,746.0744125326371,0,1263.7413712514453,0.9598958333333333,0.7402475630730797,746.0744125326371,1018.8638834903687,0.9247988423845125,1532,40649,42181,0,45611.0,43598,1788.8856942709738,33.5,20
RoundRobin,0.9843342036553525,1453.6109660574411,1453.6109660574411,0,1237.0753770080444,0.9598958333333333,0.7402475630730797,1453.6109660574411,992.197889246968,0.9247988423845125,1532,40649,42181,0,45611.0,43602,1759.0292536900185,0.8,20
StaticPriority,0.9830287206266318,745.6422976501306,745.6422976501306,0,1263.7576570149326,0.9598958333333333,0.7402475630730797,745.6422976501306,1018.8801692538561,0.9247988423845125,1532,40649,42181,0,45611.0,43602,1789.0305210422703,0.4,20
ResourceReservation,0.9830287206266318,745.6422976501306,745.6422976501306,0,1263.7576570149326,0.9598958333333333,0.7402475630730797,745.6422976501306,1018.8801692538561,0.9247988423845125,1532,40649,42181,0,45611.0,43602,1789.0305210422703,0.4,20
DQN,0.9882506527415144,939.0535248041775,939.0535248041775,0,1409.0852911510738,0.9597395833333333,0.7401307448327228,939.0535248041775,1164.2078033899973,0.9168188141192836,1532,40649,42181,0,46008.0,43577,1776.5663083797922,477.05,20
