gold_sla_violation_rate,gold_avg_scheduling_delay,gold_avg_scheduling_delay_scheduled_only,n_gold_unscheduled,bronze_avg_completion_time,cpu_utilization,mem_utilization,gold_avg_waiting_time,bronze_avg_waiting_time,throughput,n_gold_scheduled,n_bronze_scheduled,n_scheduled,n_unscheduled,sim_time,steps,total_reward,late_gold_avg_delay,late_gold_scheduled,seed,all_sanity_checks_passed
0.9947780678851176,749.4654046997389,749.4654046997389,0.0,1331.1075787401576,0.95421875,0.7339557223247798,749.4654046997389,1087.4352382592438,0.9012266529896996,1532.0,40640.0,42172.0,9.0,46794.0,43767.0,1792.623008390281,293.25,20.0,0,True
0.9954308093994778,746.8720626631854,746.9843342036554,0.0,1264.049718320254,0.9598958333333332,0.7402475630730797,746.8720626631854,1026.38655317474,0.9247988423845124,1532.0,40649.0,42181.0,0.0,45611.0,43610.0,1789.219292774496,94.6,20.0,1,True
0.9947780678851176,747.3080939947781,747.3080939947781,0.0,1280.9838828740158,0.9534895833333332,0.7332017199386406,747.3080939947781,1036.666461659573,0.9012266529896996,1532.0,40640.0,42172.0,9.0,46794.0,43716.0,1791.7559206594242,120.5,20.0,2,True
0.9947780678851176,755.7030026109661,755.7030026109661,0.0,1289.1141725503703,0.9598958333333332,0.7402475630730797,755.7030026109661,1044.2366847892938,0.9229978118161926,1532.0,40649.0,42181.0,0.0,45700.0,43728.0,1792.628346447355,110.6,20.0,3,True
0.9960835509138382,778.0731070496083,778.0731070496083,0.0,1528.974533106961,0.9571875,0.73745152967303,778.0731070496083,1285.002263278309,0.901248023250844,1532.0,40641.0,42173.0,8.0,46794.0,43750.0,1790.3034711093626,626.7,20.0,4,True
0.991514360313316,791.0770234986945,761.0293925538864,1.0,1262.5816625255234,0.9523958333333332,0.7323097722430487,791.0770234986945,1017.7041747644467,0.9013976150788564,1531.0,40649.0,42180.0,1.0,46794.0,43719.0,1485.16007593809,36.45,20.0,5,True
0.9941253263707572,748.7787206266319,748.7787206266319,0.0,1271.757337203867,0.9539583333333334,0.7337493032897573,748.7787206266319,1026.8798494427908,0.906007689498894,1532.0,40649.0,42181.0,0.0,46557.0,43688.0,1791.7245553207997,237.25,20.0,6,True
0.9921671018276762,751.3080939947781,751.3080939947781,0.0,1293.8801938547074,0.9599479166666668,0.740336062782711,751.3080939947781,1049.0027060936309,0.9226142304074892,1532.0,40649.0,42181.0,0.0,45719.0,43542.0,1786.8048770827663,204.05,20.0,7,True
0.9941253263707572,748.6331592689295,748.6331592689295,0.0,1291.838909663452,0.9536458333333332,0.7334023238683257,748.6331592689295,1047.0836920957463,0.9013976150788564,1532.0,40648.0,42180.0,1.0,46794.0,43752.0,1793.4674848177308,139.5,20.0,8,True
0.9947780678851176,805.2415143603133,780.1801566579635,0.0,1264.9768259981795,0.9599375,0.7407200317795134,805.2415143603133,1016.633963935152,0.9247988423845124,1532.0,40649.0,42181.0,0.0,45611.0,43602.0,1787.3856932427416,7.0,20.0,9,True
