episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,939.0535248041775,1164.2078033899973,477.05,0,43577,42181,0,1396
5,942.0574412532637,11477.637555659427,2355.35,12580,35378,29601,0,5777
10,2097.059399477807,968.4836527343846,0.65,1,43708,42180,0,1528
15,892.8074412532637,23390.394105636056,1199.1,34816,13732,7365,0,6367
20,835.3668407310705,8331.540210091269,1832.45,11263,33631,30918,0,2713
25,868.75,23255.702428104014,1271.1,31781,15642,10400,0,5242
30,791.0770234986945,1017.7041747644469,36.45,1,43719,42180,0,1539
35,757.9419060052219,2017.348151246033,942.55,3553,40777,38628,0,2149
40,839.6677545691906,8858.375851804472,1.6,5819,38287,36362,0,1925
45,773.5058746736293,14529.29759649684,1021.95,14614,31807,27567,0,4240
50,837.0587467362924,1910.9453615095083,370.65,224,43946,41957,0,1989
