episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,930.3342036553524,1242.8090727939186,823.0,0,43592,42181,0,1411
5,16567.353785900785,4181.297399690029,2555.85,6133,38891,36048,0,2843
10,804.4138381201044,1081.7132278776846,1129.75,7,43761,42174,0,1587
15,1553.2513054830288,2062.808703781151,2495.25,4858,39722,37323,0,2399
20,844.5248041775457,11374.986297325888,2521.8,13275,34230,28906,0,5324
25,1746.30091383812,1011.8503284213634,726.8,3,43793,42178,0,1615
30,975.7571801566579,1015.8856798445227,198.1,5,43722,42176,0,1546
35,749.4654046997389,1087.4352382592438,293.25,9,43767,42172,0,1595
40,943.5509138381201,1645.0562375458192,562.35,881,43360,41300,0,2060
45,1270.3988250652742,999.653029594824,128.4,9,43689,42172,0,1517
50,1284.0953002610966,19500.109080174174,801.15,27330,19608,14851,0,4757
