episode,total_reward,gold_delay,late_gold_delay,bronze_wait,cpu_util,epsilon,r_gold,r_bronze,r_util,r_noop,r_queue,loss,q_mag,steps,wall_time
1,1501.6980037983535,1851.5946475195822,8.35,3818.347634628158,0.9576302083333333,0.9721764,18515.94647519581,3580.3854707373002,1790.604840374906,-40.00000000000061,-22345.2387825098,0.09634616300723743,0.6663217575802779,43932,20.262296438217163
2,1533.0938417053778,1767.2748041775458,12.1,3589.1045044158527,0.9586197916666667,0.9442483,17672.748041775463,3375.1500897931305,1797.627898385771,-39.630000000000685,-21272.802188248806,0.03100389555903218,0.4338863209583892,44097,25.82950496673584
3,1515.6556600262998,1738.0678851174935,10.3,3703.5413909321264,0.958046875,0.9163816333333333,17380.67885117493,3472.6576299540106,1797.5755451403422,-40.09000000000059,-21095.166366242902,0.025838506729069476,0.3886758204583023,44000,28.43210244178772
4,1516.09815218661,1579.7291122715405,13.35,3794.539693473394,0.9583072916666666,0.8885048333333333,15797.291122715396,3559.587443725573,1802.585689641412,-40.590000000000494,-19602.77610389595,0.022237465052118786,0.35322728608251797,44016,29.532383918762207
5,1507.029498688255,1648.2493472584856,11.95,3741.3003763930233,0.9577864583333333,0.8606844,16482.49347258485,3502.976161775176,1796.278312189222,-39.980000000000615,-20234.738447860887,0.018367899708084105,0.3148323515265409,43927,30.320981979370117
6,1556.1431283832878,1533.876631853786,14.45,3631.6871263745725,0.9591562499999999,0.8327588333333333,15338.766318537866,3429.5339122733685,1807.8284692280795,-38.580000000000894,-18981.405571656414,0.016011613447941195,0.2844212903516734,44093,31.534013986587524
7,1539.4994926533832,1461.0802872062663,12.05,3590.2905606533986,0.958828125,0.8048795,14610.802872062672,3374.568279662501,1805.1810466891575,-39.01000000000081,-18212.042705761374,0.013235707462213834,0.26477508485991075,44020,31.109472036361694
8,1531.64578786065,1607.3792428198433,18.2,3672.209082634259,0.958828125,0.7770407,16073.792428198436,3452.120888582745,1801.4223447255174,-38.74000000000086,-19756.94987364644,0.010869038617106799,0.2529273454798944,43956,31.422232151031494
9,1534.2953246008774,1474.8981723237598,19.25,3637.875347487023,0.958359375,0.7491677000000001,14748.98172323759,3416.9599006125914,1805.5089620827557,-39.35000000000074,-18397.80526133212,0.009669957594214426,0.24559489085179123,44010,31.61443591117859
10,1653.6660091410706,1396.003916449086,14.6,3378.4604049300106,0.9605208333333334,0.7210774666666666,13960.039164490863,3252.920194838747,1824.5750253530111,-34.400000000001725,-17349.468375541772,0.00794292660647352,0.2385442862554396,44353,32.547667026519775
11,1768.1521672473314,1355.1951697127938,12.65,2707.8474747226255,0.9583072916666666,0.6927313666666667,13551.951697127934,2674.793672661097,1841.5770638007637,-29.380000000001793,-16270.790266342761,0.006636059044658666,0.22628560026335143,44757,32.987714767456055
12,1764.9431645410957,1354.6422976501306,27.35,2597.0208861226597,0.9570052083333334,0.6643840000000001,13546.422976501299,2560.3944746488096,1842.3397356744397,-29.780000000001856,-16154.434022283389,0.005641268802310644,0.21197135907209505,44759,33.8842613697052
13,1813.9214161990492,1302.4308093994778,20.3,2378.3604270707765,0.9589583333333334,0.6359258,13024.308093994778,2378.360427070784,1852.451416199064,-27.530000000001504,-15413.668521065772,0.005044825757310395,0.2000451188669071,44934,34.2650728225708
14,1788.341616464366,1375.9497389033943,19.95,2475.5684518684347,0.9578229166666667,0.6075448666666667,13759.497389033944,2459.0580826096807,1843.9974591665039,-28.1500000000016,-16246.061314345794,0.004528608666587801,0.18698536046584766,44812,33.24694061279297
15,1814.0030009975312,1202.6449086161879,18.6,2334.917931560432,0.9591666666666666,0.5791272000000001,12026.449086161876,2334.917931560434,1851.8930009975118,-26.890000000001404,-14372.367017722128,0.004168248898442659,0.17787768730418335,44870,33.34295129776001
16,1754.0505387548533,1241.8302872062663,31.05,2552.12450490787,0.95765625,0.5509172666666666,12418.302872062666,2508.111860070381,1837.441424385496,-28.39000000000164,-14981.415617763812,0.004150049300132661,0.1697238105738031,44542,33.97144889831543
17,1738.3104742881064,1183.7095300261096,21.1,2471.464070456838,0.9609375,0.5227466000000001,11837.095300261093,2412.493616079114,1837.5853563270393,-29.320000000001784,-14319.54379837909,0.003857442255529042,0.1644602053247215,44480,33.926897048950195
18,1756.1339355631749,1165.2669712793734,30.8,2203.7397475952666,0.9580208333333333,0.4945556666666667,11652.66971279372,2160.393146202853,1838.4889499546714,-28.02000000000158,-13867.397873388121,0.003601173601079524,0.15790201801250417,44512,35.129472494125366
19,1799.0802773777946,1117.9889033942559,32.8,2192.533666264853,0.9590625,0.46625706666666666,11179.889033942556,2180.640778370945,1848.3098933585081,-26.340000000001318,-13383.419428294499,0.00343604409807646,0.1494517830005679,44682,34.170554399490356
20,1812.5540995392973,1131.5574412532637,20.7,2177.5555856232627,0.9586458333333333,0.4379065333333333,11315.574412532635,2175.77955177249,1851.3596413730427,-26.03000000000127,-13504.12950613899,0.003185076246345933,0.143738819269225,44764,34.574769496917725
21,1597.0978875952485,1120.3315926892951,27.6,2372.7809048193067,0.953125,0.41043759999999996,11203.31592689295,2216.721715171345,1791.459118129818,-27.340000000001474,-13587.058872598765,0.0034127093725028535,0.13756638793585496,43372,34.57565259933472
22,1810.3415552176443,1096.8792428198433,21.05,1938.7804866048366,0.9589583333333334,0.38218776666666665,10968.792428198441,1938.7804866048311,1845.5815552176443,-24.24000000000099,-12918.57291480313,0.003103849646838467,0.13528431656333467,44605,34.63205432891846
23,1776.1428400328034,1082.8838120104438,24.6,2146.612142980147,0.9578645833333334,0.3540715666666667,10828.838120104441,2120.661369283381,1838.0765778861162,-24.990000000001107,-12986.443227240838,0.0031365118313084026,0.1327482367892252,44394,34.224666118621826
24,1780.4680669614488,1132.25,39.6,2035.0674801348127,0.95796875,0.32594650000000003,11322.499999999998,2016.2657875962416,1834.624617922118,-24.36000000000101,-13368.562338557436,0.002803252556873357,0.1309998812010253,44408,34.543660163879395
