episode,total_reward,gold_delay,late_gold_delay,bronze_wait,cpu_util,epsilon,r_gold,r_bronze,r_util,r_noop,r_queue,loss,q_mag,steps,wall_time
1,1484.1896203300532,1852.222584856397,12.35,3858.21014047086,0.9587760416666666,0.9722486,18522.22584856397,3607.0287583950544,1786.2629935987338,-39.95000000000062,-22391.377980227917,0.09749062344684617,0.45710910220805917,43818,52.62055993080139
2,1484.0992023129909,1881.4321148825065,13.05,3821.7551477281113,0.9586197916666667,0.9444313333333333,18814.32114882505,3569.717975841988,1788.1381931860556,-41.0600000000004,-22647.018115540206,0.04685972916910483,0.5956553205414971,43922,62.0146050453186
3,1445.1899795489812,1760.876631853786,14.75,4021.7234618317793,0.9583072916666666,0.9167667,17608.766318537866,3735.7934758542497,1783.4550192793502,-41.40000000000033,-21641.424834122525,0.04342743170866645,0.6025636137039764,43681,67.14533686637878
4,1458.557080938539,1723.170365535248,12.5,4005.9010061748136,0.9578385416666667,0.8890197333333334,17231.7036553525,3727.304484735164,1790.2001075812552,-42.11000000000019,-21248.541166730647,0.04247150696504574,0.5855352780379831,43811,68.27356839179993
5,1467.5071277264228,1653.389686684073,16.2,3986.0139978843267,0.9570052083333334,0.8612784666666666,16533.896866840743,3714.71681960196,1791.172262662099,-41.43000000000033,-20530.84882137847,0.04163869924107012,0.5510725094258084,43802,69.88222765922546
6,1486.0789296249748,1667.7976501305484,13.75,3828.905631134837,0.9580989583333334,0.8334846333333333,16677.976501305482,3570.991266697829,1796.1039322080453,-41.17000000000038,-20517.822770586245,0.038845347135492266,0.5460046662168168,43885,72.40355277061462
7,1523.1692857178375,1521.759138381201,18.15,3709.4937390833725,0.9585677083333334,0.8056021333333334,15217.591383812012,3480.515387832447,1803.27415471832,-40.180000000000575,-18938.03164064486,0.03392044326132975,0.5412586662392038,44025,72.84828996658325
8,1535.0462320167896,1607.7754569190602,22.45,3759.4322123545476,0.9585677083333334,0.7777348333333334,16077.754569190607,3541.704617579736,1802.7126816219543,-38.99000000000081,-19848.1356363757,0.03424376358175278,0.5525930655450478,44001,70.35081362724304
9,1598.4913599896363,1541.2154046997389,13.6,3444.430711702625,0.9597239583333333,0.7497567,15412.15404699738,3277.489310930154,1812.732439967004,-36.34000000000134,-18867.544437904722,0.030890519254243076,0.5634554883518115,44176,71.23161387443542
10,1663.3444315494253,1414.9732375979113,14.7,3128.827449629757,0.96,0.7216227666666667,14149.732375979105,3012.1087603631154,1825.313919605717,-34.28000000000175,-17289.530624398656,0.033532306146896174,0.5736277145868907,44422,72.85913825035095
11,1725.23752430712,1440.2003916449087,14.45,2851.7499815493616,0.9601822916666667,0.6933552000000001,14402.00391644908,2785.3509557430702,1834.2091573116213,-31.59000000000214,-17264.736505196914,0.05053888033425259,0.5645687259224281,44633,80.36869716644287
12,1765.0498070195424,1415.2761096605743,15.05,2697.444611183547,0.958046875,0.6650148,14152.761096605745,2661.666314054452,1841.39848521584,-29.580000000001824,-16861.196088856068,0.0496698870594099,0.5433354718718816,44748,79.853342294693
13,1756.1641551555294,1376.7761096605743,15.95,2723.546778518537,0.958515625,0.6366978333333333,13767.761096605736,2679.6292651725726,1841.1399338954814,-30.0700000000019,-16502.29614051831,0.03649860102906677,0.5070427499952849,44711,78.17091822624207
14,1730.8637503777186,1344.6109660574411,21.25,2564.884326797707,0.9611875,0.6084828333333334,13446.109660574408,2502.8468597013452,1834.2148825088375,-30.33000000000194,-16021.977652406453,0.026937809628802593,0.4891307871309836,44550,78.6091537475586
15,1752.5458241670763,1247.5189295039165,14.15,2645.2808433171786,0.9579947916666667,0.5802184333333333,12475.189295039161,2597.744544761268,1840.6894532846436,-29.62000000000183,-15131.457468917779,0.023332787808306412,0.4797330182858701,44628,75.86686301231384
16,1698.7799326743395,1272.9419060052219,27.1,2489.439814017565,0.9588020833333334,0.5521358000000001,12729.41906005222,2401.536519963591,1828.4107169494755,-30.750000000002007,-15229.836364291028,0.02341140738889027,0.474962675684377,44341,62.48942708969116
17,1749.556655212932,1246.3185378590078,16.05,2501.184776993284,0.95953125,0.5239455,12463.18537859009,2452.5977268813535,1837.6907652771458,-28.560000000001665,-14975.357215535487,0.02274162795649396,0.46302612014468514,44511,55.586607456207275
18,1736.8090020959094,1280.9595300261096,29.85,2548.9543408201926,0.9606770833333333,0.4958033333333334,12809.5953002611,2492.137887770922,1833.2604240251196,-28.65000000000168,-15369.534609961574,0.021168154027463495,0.44564124873562594,44435,52.548604249954224
