episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,1061.659268929504,2825.910944918694,1838.65,5925,38886,36256,0,2630
5,1202.6546997389034,2349.500332111491,2521.95,3587,40877,38594,0,2283
10,917.3707571801566,1034.1303107087506,53.35,1,43784,42180,0,1604
15,901.2859007832898,1154.0234446111835,188.6,8,44057,42173,0,1884
20,844.5456919060052,1378.4892125267534,1522.6,326,43675,41855,0,1820
25,5061.69908616188,6701.551009864941,1222.45,4105,40144,38076,0,2068
30,782.6775456919061,7964.291987502767,995.95,3472,40123,38709,0,1414
35,980.2787206266319,1011.7529336515043,356.55,0,43605,42181,0,1424
40,15803.817885117494,24605.94974046102,9560.15,40831,8243,1350,0,6893
45,796.1533942558747,1131.3382371030038,288.05,0,43772,42181,0,1591
50,1036.2878590078328,9826.243991242098,440.5,5646,38281,36535,0,1746
