episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,1023.0091383812011,1008.9687815198406,126.2,1,43707,42180,0,1527
5,1834.0528720626633,1763.563556299048,847.95,2113,42296,40068,0,2228
10,1008.9086161879895,1827.4681049964329,878.85,9,43947,42172,0,1775
15,970.7258485639687,1145.8691726733746,885.05,9,44049,42172,0,1877
20,936.4817232375979,1154.3823956308888,694.8,9,43808,42172,0,1636
25,856.5496083550914,1648.4627666117249,789.45,4,43909,42177,0,1732
30,1124.3159268929503,1241.4186818863932,733.2,1,43796,42180,0,1616
35,902.186684073107,1032.936898816699,142.65,0,43576,42181,0,1395
40,909.9993472584856,24423.6577283574,4264.95,37786,10885,4395,0,6490
45,885.1638381201044,1041.2980885138625,265.05,0,43678,42181,0,1497
50,863.4595300261096,1479.7346798199217,909.45,1706,42823,40475,0,2348
