episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,965.0554830287206,1044.6813451745431,139.75,1,43682,42180,0,1502
5,909.9255874673629,1731.4186080838397,1247.4,0,43334,42181,0,1153
10,1580.6488250652742,2188.7479642795643,1215.3,0,43297,42181,0,1116
15,884.4536553524804,21357.627592314693,1780.9,26937,20886,15244,0,5642
20,829.607049608355,1200.252306329799,181.2,4,44001,42177,0,1824
25,979.4314621409922,1026.270486358828,219.8,1,43701,42180,0,1521
30,820.0665796344648,3201.6282565376764,470.15,3083,42573,39098,0,3475
35,895.9843342036554,1020.0404684002067,75.85,1,43717,42180,0,1537
40,800.079634464752,1169.2409161356984,250.15,0,43846,42181,0,1665
45,785.5469973890339,1184.868188639327,30.7,0,43723,42181,0,1542
50,841.8270234986945,1534.1739772196117,167.85,0,44064,42181,0,1883
