gold_sla_violation_rate,gold_avg_scheduling_delay,gold_avg_scheduling_delay_scheduled_only,n_gold_unscheduled,bronze_avg_completion_time,cpu_utilization,mem_utilization,gold_avg_waiting_time,bronze_avg_waiting_time,throughput,n_gold_scheduled,n_bronze_scheduled,n_scheduled,n_unscheduled,sim_time,steps,total_reward,late_gold_avg_delay,late_gold_scheduled,seed,all_sanity_checks_passed
0.9869451697127938,782.6187989556136,752.5656433703462,1.0,1394.4977365546424,0.9516145833333334,0.7309010715773004,782.6187989556136,1149.8091711973234,0.9013335042954224,1531.0,40646.0,42177.0,4.0,46794.0,43743.0,1483.4472565109304,3.05,20.0,0,True
0.9908616187989556,837.2891644908616,837.2891644908616,0.0,1262.68562572265,0.9597916666666668,0.740316897021333,837.2891644908616,1017.8081379615736,0.9247785670437604,1532.0,40649.0,42181.0,0.0,45612.0,43599.0,1785.381916203661,539.5,20.0,1,True
0.9960835509138382,868.2212793733681,778.208224543081,0.0,1829.3697470721384,0.955546875,0.7357359359628799,868.2212793733681,1017.8188885335431,0.901312134034278,1532.0,40644.0,42176.0,4.0,46794.0,43731.0,1801.0032231816788,384.35,20.0,2,True
0.9934725848563968,757.9249347258485,757.9249347258485,0.0,1263.7892937095623,0.95984375,0.7403972418199288,757.9249347258485,1018.9118059484858,0.9247988423845124,1532.0,40649.0,42181.0,0.0,45611.0,43592.0,1788.1183252839028,349.35,20.0,3,True
0.9934725848563968,775.3524804177546,775.3524804177546,0.0,1396.1942975226943,0.9599479166666668,0.7404743865901441,775.3524804177546,1151.3168097616178,0.9102699669824554,1532.0,40649.0,42181.0,0.0,46339.0,43871.0,1796.2813176094298,67.85,20.0,4,True
0.9941253263707572,789.3733681462141,789.3733681462141,0.0,1279.523863412714,0.95328125,0.7329799201220452,789.3733681462141,1034.781446038033,0.9013976150788564,1532.0,40648.0,42180.0,1.0,46794.0,43679.0,1790.1128155236215,446.55,20.0,5,True
0.9947780678851176,885.1638381201044,885.1638381201044,0.0,1286.1755762749392,0.96,0.7403194432804747,885.1638381201044,1041.2980885138625,0.9218883182165885,1532.0,40649.0,42181.0,0.0,45755.0,43678.0,1786.5915792175244,265.05,20.0,6,True
0.9921671018276762,785.5469973890339,785.5469973890339,0.0,1429.7456764004037,0.96,0.7402829354298065,785.5469973890339,1184.868188639327,0.9182958157356208,1532.0,40649.0,42181.0,0.0,45934.0,43723.0,1791.1167416844582,30.7,20.0,7,True
0.991514360313316,813.7591383812011,781.3370346178968,1.0,1274.5774453847669,0.9523958333333332,0.7323097722430488,813.7591383812011,1030.902900440355,0.9013762448177116,1531.0,40648.0,42179.0,4.0,46794.0,43776.0,1711.68786816092,649.05,19.0,8,True
0.9960835509138382,796.1533942558747,796.1533942558747,0.0,1376.2157248640804,0.9598958333333332,0.7401403105089582,796.1533942558747,1131.3382371030038,0.9137800307618986,1532.0,40649.0,42181.0,0.0,46161.0,43772.0,1791.9303280511306,288.05,20.0,9,True
