episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,1988.6364229765013,982.1628084331718,138.35,1,43713,42180,0,1533
5,1038.1716710182768,2258.875864104898,542.7,1,43453,42180,0,1273
10,839.8067885117493,1029.2181111466457,152.0,2,43723,42179,0,1544
15,782.6187989556136,1149.8091711973234,3.05,4,43743,42177,0,1566
20,1229.987597911227,1877.3434278826048,966.3,312,43432,41869,0,1563
25,1239.7513054830288,1092.0396811729686,701.8,9,43671,42172,0,1499
30,1231.9157963446476,8433.97165981943,1065.85,5133,38918,37048,0,1870
35,1154.9425587467363,1005.7358360599277,173.15,6,43659,42175,0,1484
40,998.079634464752,1157.8703781150828,344.45,0,43622,42181,0,1441
45,8970.165143603133,8349.278358631209,586.5,3913,39714,38268,0,1446
50,1849.4882506527415,3875.0380083150876,1223.4,9547,34871,32634,0,2237
