episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,1022.3439947780679,1008.4919678220866,149.5,0,43618,42181,0,1437
5,958.2284595300262,12950.663632561687,2419.1,14496,33241,27685,0,5556
10,1412.4223237597912,1550.2113459125685,35.6,2,43912,42179,0,1733
15,863.128590078329,2050.8538955447857,693.8,2,43957,42179,0,1778
20,931.1024804177546,1561.9329626805088,1382.1,3,43720,42178,0,1542
25,874.7317232375979,5727.490467170164,1087.15,5167,41223,37014,0,4209
30,837.2891644908616,1017.8081379615735,539.5,0,43599,42181,0,1418
35,795.0202349869452,6050.634111540259,1076.95,1754,41673,40427,0,1246
40,1046.4229765013056,1362.9405151418239,665.05,0,43392,42181,0,1211
45,980.813315926893,1011.3400083642894,284.6,1,43714,42180,0,1534
50,1851.233681462141,24959.613692833773,9560.15,40683,8359,1498,0,6861
