episode,total_reward,gold_delay,late_gold_delay,bronze_wait,cpu_util,epsilon,r_gold,r_bronze,r_util,r_noop,r_queue,loss,q_mag,steps,wall_time
1,1494.7779066424694,1872.5711488250652,11.5,3817.350857339664,0.9584114583333333,0.9721200333333333,18725.71148825065,3571.891411842847,1792.6904995721743,-41.51000000000031,-22554.005493023404,0.14935185426933126,0.493843860412182,44021,50.856284618377686
2,1508.2736101591227,1860.3772845953004,10.0,3748.505301483431,0.957890625,0.9442432333333334,18603.772845953,3514.3934906147865,1793.8508809407247,-40.52000000000051,-22363.223607349413,0.07476161222292074,0.6667464087227818,44016,61.57675266265869
3,1519.3799559544668,1729.2728459530026,13.95,3669.6171123520876,0.9582552083333333,0.9163721333333333,17292.72845953002,3442.7783463307956,1796.985682540621,-39.82000000000065,-20973.292532446667,0.05981566832509555,0.623434075885017,44007,65.87695503234863
4,1527.410567410164,1665.0711488250652,9.1,3636.3156289207604,0.9580989583333334,0.8884985,16650.71148825064,3413.8645969150566,1800.2994702122253,-39.49000000000071,-20297.974987967904,0.049254003652071957,0.5937537995771083,44011,63.96232604980469
5,1499.1317693884587,1695.0946475195822,15.1,3823.223498733056,0.9585677083333334,0.8606679333333334,16950.946475195808,3578.1288592585347,1795.8696300984243,-40.70000000000047,-20785.11319516458,0.045547901057615914,0.5594870257281078,43943,66.40035676956177
6,1501.8099904990495,1612.402088772846,20.35,3806.6046889222366,0.958984375,0.8328430666666666,16124.020887728444,3562.842406947282,1797.0157643188413,-40.50000000000051,-19941.569068495308,0.043312481569954354,0.5381477058254853,43934,65.80174589157104
7,1520.638417039485,1548.0424281984335,18.5,3782.70754508106,0.958515625,0.8050283333333333,15480.424281984322,3552.6578513616882,1800.8344071007357,-39.20000000000077,-19274.078123407333,0.03763457376869504,0.5272242670455238,43918,65.19998621940613
8,1565.2598965730824,1586.6977806788511,18.6,3601.981696966715,0.9583229166666666,0.7771407666666666,15866.977806788502,3411.5980712932574,1803.5581582769407,-36.960000000001216,-19479.914139785604,0.034418329474762345,0.5162477809472328,44033,67.23388528823853
9,1547.1583102943891,1461.9549608355092,13.8,3535.8597997490715,0.9586197916666667,0.7492190000000001,14619.549608355093,3323.319442052678,1810.0586052585786,-39.41000000000073,-18166.359345372013,0.03347168692246391,0.5083237600678681,44087,69.19854664802551
10,1564.6088320135714,1383.789817232376,14.7,3391.6039754975523,0.9585833333333333,0.7212655666666667,13837.898172323752,3192.2317646190436,1813.7137600561116,-38.780000000000854,-17240.454864985106,0.030553892883161366,0.5018073571113216,44137,73.2626256942749
11,1691.2417793093525,1381.599869451697,15.0,3124.0249944648085,0.9581770833333333,0.6930778,13815.998694516968,3028.7990110457545,1830.553530889951,-33.11000000000198,-16950.99945714327,0.02503422431194082,0.5060358745713157,44507,70.83016157150269
12,1724.9551913877135,1328.6077023498694,21.45,2901.004944771089,0.960234375,0.6648539333333334,13286.077023498703,2832.758985460854,1835.263315080777,-31.08000000000206,-16198.064132652811,0.022191153291039687,0.50397004210901,44564,80.79651045799255
13,1658.9353755300162,1324.5169712793734,8.25,2897.8230706782456,0.9604166666666667,0.6367706666666667,13245.169712793737,2775.8868360845163,1825.801228072494,-33.96000000000181,-16153.962401420526,0.020497301175881593,0.49422793813592386,44342,81.91397881507874
14,1647.8764573819858,1240.1527415143603,17.6,2770.119732342739,0.9588020833333334,0.6088292666666667,12401.527415143608,2642.8292946935817,1818.3453075381703,-32.21000000000216,-15182.615559993588,0.02036324277215548,0.47345035208627073,44118,76.26914620399475
15,1662.040238850253,1242.6971279373367,14.75,2986.3851017245197,0.9599479166666667,0.5808125000000001,12426.97127937336,2866.4100961893396,1825.7153051495409,-32.73000000000206,-15424.326441861991,0.021174614954692236,0.4725087582246539,44237,76.62790083885193
16,1718.9059745014429,1241.7885117493472,12.5,2609.2126743585327,0.9604427083333333,0.5526570333333334,12417.885117493483,2536.1292774730023,1833.4403795298838,-30.470000000001964,-15038.078799995175,0.020732710152441294,0.4681118347133939,44456,79.8419246673584
17,1719.1298895966352,1228.2160574412533,24.75,2819.677040025585,0.9598958333333333,0.5244895333333335,12282.160574412525,2744.115427193755,1836.5719201509103,-30.90000000000203,-15112.818032160483,0.02064434524452415,0.4677736107895153,44475,70.54394197463989
18,1815.83337506015,1170.3466057441253,19.8,2427.248517798716,0.9591145833333333,0.49609023333333335,11703.46605744126,2426.9819675760946,1853.729851480207,-26.630000000001363,-14141.714501437216,0.020246951211331125,0.45332572867653176,44841,72.3154616355896
19,1743.7026351310276,1186.9699738903394,30.95,2375.897685059903,0.9607291666666666,0.4679081666666667,11869.699738903391,2320.644640704568,1839.0610419799054,-29.120000000001752,-14256.582786456926,0.02165781948137998,0.4431358142841609,44498,69.41800117492676
20,674.3741730350556,1234.333550913838,22.4,5081.713818298113,0.9634895833333333,0.44202320000000006,12343.335509138378,4140.214076607059,1682.1453004920554,-55.43999999999754,-17435.88071320236,26.905483318764553,40.72050357440432,40871,66.08974289894104
21,1806.7339780350862,1316.1488250652742,31.45,2502.265787596251,0.9592447916666667,0.41365810000000003,13161.488250652737,2502.2657875962486,1843.7939780350841,-26.060000000001274,-15674.754038248882,7619.232112661164,11741.896019463902,44787,71.35021877288818
22,1745.043920478334,1377.7389033942559,14.15,3106.8581514920415,0.9590885416666667,0.385483,13777.389033942554,3062.2726266328636,1828.5175385255288,-27.90000000000156,-16895.235278623077,20002.678624957873,30663.957865991237,44487,71.98371505737305
23,1806.815816956315,1253.5874673629244,34.15,2704.0627321705333,0.959140625,0.3571711000000001,12535.874673629243,2704.062732170531,1843.0358169563153,-25.220000000001143,-15250.937405800094,6117.130403290401,12838.50365051642,44703,70.34964036941528
24,1473.9664191210397,1425.9229765013056,22.4,2930.9560382789246,0.9534635416666667,0.33009546666666667,14259.229765013053,2689.1292282712793,1755.247114587124,-28.510000000001657,-17201.12968875021,14517.88221113939,16881.763163039777,42751,69.57046294212341
25,1688.88744239619,1504.373368146214,42.15,2517.8821865236537,0.954453125,0.30215913333333344,15043.73368146213,2437.4596669044636,1808.009223497807,-27.720000000001534,-17572.595129468544,6985.935355965576,5048.785813310836,44110,70.7317762374878
26,1556.8900034220003,1413.6272845953004,38.3,3497.400231248001,0.9586874999999999,0.2744147000000001,14136.272845953012,3303.2189229747437,1797.055135897563,-35.0300000000016,-17644.626901403288,2466.8855410160004,1038.5647398179947,43807,80.45772981643677
27,1535.2517996012307,1305.5757180156659,33.25,3604.344141307289,0.9579427083333333,0.2466607666666667,13055.757180156665,3386.970675785375,1800.7441937560816,-37.170000000001174,-16671.050250096792,1871.9969865215842,268.11587598566086,43822,81.06854605674744
28,1471.2962164548937,1959.479765013055,43.95,3986.7400920071836,0.9587239583333333,0.21899296666666668,19594.79765013053,3741.0387709414513,1766.1206357517826,-38.18000000000097,-23592.48084036907,1285.2212982252227,180.25621212982804,43686,81.25590920448303
29,1442.9728696238915,1084.6174934725848,42.05,4417.902629830992,0.9587760416666666,0.1914999666666667,10846.174934725854,4118.819036138632,1792.7289339797312,-39.74000000000066,-15275.010035220326,0.0628548751647752,0.4079266491857766,43410,83.81785941123962
30,1453.4388929966653,1036.0300261096606,61.4,4324.17041009619,0.9596614583333334,0.16398100000000004,10360.30026109661,4031.618563802302,1796.5544891983025,-39.630000000000685,-14695.404421100686,0.0530315649142846,0.34838958709086,43451,80.66919684410095
31,1469.354335303239,990.7545691906005,79.35,4486.556323648798,0.9599739583333333,0.13638983333333332,9907.545691906005,4204.235995965469,1802.5604301641342,-39.95000000000062,-14405.037782732761,0.047263937144473946,0.3204328264844684,43565,76.88945055007935
32,1462.992244731679,977.7193211488251,112.45,3958.4570100125466,0.958515625,0.10882210000000003,9777.19321148825,3671.2788260474094,1801.0752364411844,-39.97000000000062,-13746.585029245218,0.04366221935501854,0.2751126472404986,43528,74.71525764465332
33,1380.3116137914035,937.6057441253264,99.65,4656.629929395557,0.9584635416666667,0.08146969999999998,9376.057441253262,4301.398582991009,1788.3447048883781,-41.88000000000024,-14043.609115340918,0.03842200562911659,0.2221526839559562,43188,75.32800579071045
34,1401.7263378420046,971.3453002610966,165.5,4188.981819970971,0.9588802083333333,0.054148333333333354,9713.453002610962,3856.134443651755,1785.1696901999871,-39.67000000000068,-13913.360798620799,0.03711617468726399,0.22286070449973355,43139,76.02861404418945
35,1465.5639036007358,913.7604438642297,196.6,4032.5168884843415,0.9583072916666666,0.050000000000000044,9137.604438642293,3750.0724987084573,1797.1140359533076,-38.170000000000975,-13181.05706970381,0.035469342493833614,0.21262107397033145,43386,74.45724153518677
36,1457.435761787555,949.9804177545692,113.1,4527.487834879087,0.959140625,0.050000000000000044,9499.804177545691,4241.682107800899,1791.656567219421,-37.48000000000111,-14038.227090778604,0.03254537212062325,0.19925421033832433,43290,74.94675254821777
