episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,1396.3348563968668,2450.9067135722894,1444.8,5331,39553,36850,0,2703
5,2075.342036553525,1155.6271741002238,98.75,236,43978,41945,0,2033
10,1840.7291122715405,1181.567197225024,59.4,1264,42615,40917,0,1698
15,834.4849869451697,1289.9110925238012,239.65,3128,41102,39053,0,2049
20,1252.4229765013056,1110.533592462299,50.4,0,43701,42181,0,1520
25,1550.3511749347258,990.1239882899948,154.7,3,43707,42178,0,1529
30,1056.5567885117493,1413.7044699746612,1293.8,1027,43112,41154,0,1958
35,961.7284595300262,1459.7055278112623,1244.7,1164,42859,41017,0,1842
40,989.4862924281985,1855.0451425619326,450.7,7141,37768,35040,0,2728
45,930.2506527415144,1224.3296022042364,466.3,110,43932,42071,0,1861
50,775.3524804177546,1151.3168097616178,67.85,0,43871,42181,0,1690
