policy,gold_sla_violation_rate,gold_avg_scheduling_delay,gold_avg_scheduling_delay_scheduled_only,n_gold_unscheduled,bronze_avg_completion_time,cpu_utilization,mem_utilization,gold_avg_waiting_time,bronze_avg_waiting_time,throughput,n_gold_scheduled,n_bronze_scheduled,n_scheduled,n_unscheduled,sim_time,steps,total_reward,late_gold_avg_delay,late_gold_scheduled
FCFS,0.9921671018276762,746.0744125326371,746.0744125326371,0,1263.7413712514451,0.9598958333333332,0.7402475630730797,746.0744125326371,1018.8638834903688,0.9247988423845124,1532,40649,42181,0,45611.0,43598,1788.8856942709738,33.5,20
RoundRobin,0.9843342036553524,1453.6109660574411,1453.6109660574411,0,1237.0753770080444,0.9598958333333332,0.7402475630730797,1453.6109660574411,992.197889246968,0.9247988423845124,1532,40649,42181,0,45611.0,43602,1759.0292536900183,0.8,20
StaticPriority,0.9830287206266318,745.6422976501306,745.6422976501306,0,1263.7576570149326,0.9598958333333332,0.7402475630730797,745.6422976501306,1018.880169253856,0.9247988423845124,1532,40649,42181,0,45611.0,43602,1789.0305210422705,0.4,20
ResourceReservation,0.9830287206266318,745.6422976501306,745.6422976501306,0,1263.7576570149326,0.9598958333333332,0.7402475630730797,745.6422976501306,1018.880169253856,0.9247988423845124,1532,40649,42181,0,45611.0,43602,1789.0305210422705,0.4,20
DQN,0.991514360313316,813.7591383812011,781.3370346178968,1,1274.5774453847669,0.9523958333333332,0.7323097722430488,813.7591383812011,1030.902900440355,0.9013762448177116,1531,40648,42179,4,46794.0,43776,1711.68786816092,649.05,19
