episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,2137.1462140992166,968.6040000984034,165.65,1,43698,42180,0,1518
5,875.7395561357703,4359.886491672612,1307.45,3102,42071,39079,0,2992
10,1297.7682767624021,3001.8933307092425,2654.15,3266,41492,38915,0,2577
15,812.3668407310705,1489.6640261753057,1000.4,7,44059,42174,0,1885
20,935.6174934725849,1179.090358926419,285.85,82,43520,42099,0,1421
25,952.5065274151436,1665.4358532805236,1406.75,1389,42360,40792,0,1568
30,1675.7049608355092,24675.626313070432,5631.7,40369,8631,1812,0,6819
35,789.3733681462141,1034.781446038033,446.55,1,43679,42180,0,1499
40,1295.2650130548302,19952.485866810992,1334.05,35527,13082,6654,0,6428
45,1266.7016971279375,1000.6831902383823,88.15,0,43563,42181,0,1382
50,6488.049608355092,804.5401362887156,297.05,0,43577,42181,0,1396
