episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,17285.667101827676,2286.141135083274,1547.0,3275,40227,38906,0,1321
5,879.581592689295,1016.7452089842309,82.55,7,43732,42174,0,1558
10,995.9915143603133,5509.607272011612,1512.4,4919,38792,37262,0,1530
15,813.7591383812011,1030.9029004403553,649.05,4,43776,42177,0,1599
20,1564.1272845953004,1019.935594971586,24.05,1,43738,42180,0,1558
25,857.4647519582245,1032.987674973554,1124.4,1,43787,42180,0,1607
30,788.6781984334203,1029.7681861792419,1097.2,2,43690,42179,0,1511
35,1130.690600522193,1028.070629043765,352.25,0,43638,42181,0,1457
40,1343.056135770235,1114.0790671357229,101.9,1,43699,42180,0,1519
45,1765.9516971279375,1830.3447809294203,328.75,0,43310,42181,0,1129
50,946.0306788511749,1012.0092007183448,155.05,0,43617,42181,0,1436
