episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,3210.603133159269,950.8851878274988,53.3,1,43740,42180,0,1560
5,939.1723237597911,1011.8687544589043,101.8,0,43619,42181,0,1438
10,794.0613577023498,1056.986518733548,856.2,1,43731,42180,0,1551
15,901.0933420365535,6428.022903392457,1332.8,4837,41462,37344,0,4118
20,934.434725848564,8120.6733498979065,1219.7,4675,40875,37506,0,3369
25,799.3328981723238,1110.0132106570888,420.95,3,43805,42178,0,1627
30,812.420365535248,2417.668208320008,1267.7,9226,36015,32955,0,3060
35,893.1018276762402,1105.5824497527615,614.6,2,43786,42179,0,1607
40,757.9249347258485,1018.9118059484858,349.35,0,43592,42181,0,1411
45,760.9732375979112,1020.0787227238062,724.95,0,43614,42181,0,1433
50,790.4223237597911,1085.6055253511772,164.55,0,43707,42181,0,1526
