episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,1580.6912532637075,1178.736647888017,1506.8,6,34557.0,21409.0,43656,42175,0,1481
5,1274.7943864229765,15390.488572904622,964.4,25968,46794.0,46747.0,24136,16213,0,7923
10,790.1932114882507,1286.966247632168,1209.3,5,24990.0,24986.0,43654,42176,0,1478
15,806.0776762402089,2493.5883293561956,1947.45,1795,20106.0,18272.0,42846,40386,0,2460
20,765.3218015665797,1023.4597161061773,1.4,6,6269.0,6267.0,43678,42175,0,1503
25,773.0372062663185,1020.3869221875077,17.1,0,2103.0,26963.0,43624,42181,0,1443
30,798.3596605744125,1329.5315997933528,1121.3,8,34525.0,31502.0,43773,42173,0,1600
35,826.0045691906005,1325.598218898374,378.45,4,7561.0,38883.0,43057,42177,0,880
40,834.3936031331592,1202.3858889517578,385.2,512,5256.0,10230.0,43509,41669,0,1840
45,778.1945169712794,4754.767571157962,0.45,3505,34525.0,46771.0,40470,38676,0,1794
50,997.2447780678851,1028.8408324928043,1.5,7,46794.0,3711.0,43718,42174,0,1544
55,1160.1527415143603,1006.076090432729,11.95,0,45233.0,6003.0,43629,42181,0,1448
60,773.9751958224543,1018.2082216044676,0.65,0,12474.0,24986.0,43593,42181,0,1412
65,754.3896866840731,1024.3343501685158,0.4,0,1520.0,3227.0,43659,42181,0,1478
70,799.2852480417755,1019.417082831066,14.0,0,34806.0,34831.0,43609,42181,0,1428
75,856.6657963446476,3588.286698319762,1587.1,3124,46794.0,37541.0,42088,39057,0,3031
80,901.7845953002611,1056.4466776550469,484.15,2,37483.0,3610.0,43779,42179,0,1600
85,830.3067885117493,1037.927427488991,0.4,13,1600.0,24949.0,43783,42168,0,1615
90,896.1625326370757,1020.7231420207139,958.75,7,46794.0,19752.0,43680,42174,0,1506
95,753.1827676240209,1018.5959802209156,0.4,0,1519.0,24986.0,43614,42181,0,1433
100,1122.0483028720625,19771.097345568156,613.85,21559,46794.0,29817.0,25077,20622,0,4455
105,775.6161879895561,4870.017417402642,0.4,15751,26458.0,26369.0,29472,26430,0,3042
110,773.9673629242819,1017.8126399173411,0.4,0,24093.0,5192.0,43581,42181,0,1400
115,951.6096605744125,1011.7344092105587,0.4,21,23847.0,24822.0,43692,42160,0,1532
120,809.815274151436,1018.3799847474722,0.9,0,27842.0,26611.0,43605,42181,0,1424
125,928.3368146214099,2990.290437649143,0.55,10790,34527.0,46717.0,34689,31391,0,3298
130,888.7140992167102,10920.440650446506,36.6,13023,9287.0,17629.0,33276,29158,0,4118
135,789.8909921671018,4796.169868877463,0.4,163,6330.0,46752.0,42887,42018,0,869
140,874.3674934725849,24568.275037516298,9560.15,39129,12269.0,46506.0,9824,3052,0,6772
145,977.6063968668408,24906.83886442471,9560.15,40474,46794.0,46747.0,8572,1707,0,6865
150,978.1899477806788,1716.9834436271494,891.6,2842,46794.0,23764.0,41684,39339,0,2345
