episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,1769.6475195822454,2698.0604442913723,1426.7,2836,40579,39345,0,1234
5,1178.3453002610966,24738.64564933947,9560.15,40462,8539,1719,0,6820
10,814.9151436031332,1811.3569091490565,627.7,0,43415,42181,0,1234
15,777.4419060052219,1031.3227877684567,101.2,0,43589,42181,0,1408
20,812.251958224543,4346.061157716057,1409.05,5732,38578,36449,0,2129
25,1268.9862924281983,21271.418312873626,1828.5,26703,20550,15478,0,5072
30,760.766318537859,1029.1250215257448,20.4,1,43760,42180,0,1580
35,1067.909268929504,1016.3694555831631,2298.7,9,43733,42172,0,1561
40,757.1677545691906,2015.467612979409,140.6,223,43828,41958,0,1870
45,1250.6090078328982,1005.0157937464636,0.4,7,43689,42174,0,1515
50,761.7030026109661,1028.7154173534404,4.6,0,43638,42181,0,1457
