episode,total_reward,gold_delay,late_gold_delay,bronze_wait,cpu_util,epsilon,r_gold,r_bronze,r_util,r_noop,r_queue,loss,q_mag,steps,wall_time
1,1599.1193686710408,1854.2147519582245,6.35,3810.407217889739,0.958515625,0.9721719666666666,18646.46625723557,3567.854584368608,1788.7470023920955,-40.45000000000052,-22363.498475325425,0.08464184384330518,1.6976758737076618,43939,25.405078887939453
2,1615.553620813858,1816.8955613577023,11.1,3808.737459716106,0.9587760416666666,0.9443471,18286.33393288824,3567.0313414844186,1791.1553297936398,-40.330000000000545,-21988.636983352073,0.029375804126938056,0.5420806831999039,43934,32.62541079521179
3,1627.284270855513,1872.8635770234987,15.25,3734.848827769441,0.9584114583333333,0.9164671333333333,18831.035648199162,3517.0032473123442,1792.8788035779664,-39.20000000000077,-22474.433428233544,0.024893207548586593,0.409962573232797,44021,33.49980115890503
4,1585.4196741635792,1694.6422976501306,15.75,3821.909739476986,0.958046875,0.8886802666666667,17027.267424365637,3583.344092105589,1793.555423352071,-39.47000000000072,-20779.277265660054,0.021256508457310273,0.3752800306207192,43874,37.16724944114685
5,1653.8230245367831,1645.425587467363,14.0,3663.214642426628,0.9595572916666667,0.8607642,16560.79998072194,3455.953725798917,1804.360879422297,-38.870000000000836,-20128.421561406176,0.01837401135891289,0.3407816421814792,44078,36.36801624298096
6,1673.0331652137706,1658.3439947780678,14.35,3509.338483111516,0.9587395833333333,0.8328361,16701.572593725534,3311.3543014588276,1802.0977132958237,-38.26000000000096,-20103.731443266643,0.015326328676059035,0.30287134408116695,44097,41.2296941280365
7,1715.8040671091912,1566.5332898172323,12.75,3318.026593520136,0.960390625,0.8047927333333333,15762.627182132408,3169.416443208957,1813.8335980031354,-35.75000000000146,-18994.323156235256,0.012277210392521063,0.28542512790892777,44279,38.83775544166565
8,1731.1048737401607,1538.9445169712794,16.95,3276.251248493198,0.960546875,0.7767303666666667,15489.047795303753,3136.6681345174684,1817.2910193366772,-35.24000000000156,-18676.662075417713,0.01001546889290691,0.26815207412555586,44309,38.375938415527344
9,1765.9011135067558,1506.7669712793734,10.2,2991.944303672907,0.9580729166666667,0.7485419666666666,15145.220399964526,2897.661959703792,1826.6387598743172,-33.030000000002,-18070.59000603582,0.008267621494281526,0.2558585674334387,44508,28.723133325576782
10,1829.093355163307,1485.7382506527415,16.6,2940.437993554577,0.960078125,0.7202598333333333,14948.123557051867,2884.7950257078905,1835.7205365756624,-30.740000000002006,-17808.805764172037,0.007278506119342831,0.23743575011995696,44656,29.026060581207275
11,1853.8105227588899,1452.2597911227153,16.65,2733.9808113360723,0.957734375,0.6919143666666667,14612.103936763117,2698.484120150566,1840.4216432782064,-29.630000000001832,-17267.569177433044,0.006970164490716495,0.22807079212189946,44756,29.295926332473755
12,1899.4224297089108,1314.3492167101829,14.35,2655.0431252921353,0.957265625,0.6635264666666667,13259.076222153804,2631.6048119264915,1847.280316402129,-29.010000000001735,-15809.528920773811,0.00618984813977391,0.22091158781703896,44823,28.9005184173584
13,1930.3940096659255,1343.6853785900782,10.2,2432.5280326699303,0.95890625,0.6350638333333334,13554.728717431959,2432.528032669943,1851.119078134727,-27.600000000001515,-15880.381818570759,0.0060146308476816965,0.21321904714690892,44941,41.307053565979004
14,1864.6566583435476,1328.0665796344647,21.35,2747.0061502127974,0.9585677083333334,0.6067519333333333,13382.093840208829,2709.814288174382,1840.6904885722154,-29.280000000001777,-16038.66195861164,0.00548958129357263,0.19891862612146202,44703,41.4721474647522
15,1786.2650101210718,1327.7872062663184,17.55,3122.596669044749,0.9595833333333333,0.578694,13388.036433137344,3016.2842874363428,1825.4962063274872,-32.11000000000218,-16411.44191678046,0.005636093096713851,0.18444366821025876,44302,41.819833278656006
16,1835.1115128176134,1276.9060052219322,16.65,2526.321262515683,0.9580729166666667,0.5503916,12831.828232980944,2495.8897635858234,1842.1766143015604,-28.41000000000164,-15306.373098050455,0.005108407596073013,0.17919361593417374,44688,42.07571840286255
17,1851.564949144737,1187.1422976501306,35.0,2377.1763143004746,0.9575,0.5221297333333333,11956.591638900121,2339.9837142365272,1843.0688988643276,-28.490000000001654,-14259.589302856195,0.004690417568781453,0.17632422588140603,44624,43.16715669631958
18,1874.3691354215168,1175.3864229765013,24.85,2220.674998154936,0.9576041666666667,0.49389193333333337,11848.004823524829,2197.0507023542887,1841.506416640144,-26.660000000001368,-13985.532807097567,0.004355276440568804,0.1657702974613923,44586,42.61526918411255
19,1897.2794217613505,1197.7610966057441,18.6,2006.193067480135,0.9588020833333334,0.4655914333333333,12066.430684303616,2006.1930674801356,1844.4997035151828,-25.040000000001115,-13994.804033537528,0.003810803882894719,0.16445984061854538,44685,42.73173975944519
20,1843.94030311595,1149.0587467362925,33.35,2234.2765135673694,0.9576041666666667,0.4374138000000001,11566.5463526583,2200.1885163226557,1839.8902389477778,-26.830000000001395,-13735.854804812929,0.004089606994382656,0.162943611906853,44491,40.476633071899414
21,1896.6130721262239,1059.8028720626633,21.5,2007.334251765111,0.95765625,0.40931660000000003,10728.432475337044,1973.060075278617,1837.0542685831279,-25.5800000000012,-12616.353747072666,0.0038727718679778013,0.15737851899158045,44364,44.1621196269989
22,1738.9477199881765,1113.3701044386423,18.55,2104.8577578784225,0.9530729166666667,0.38194076666666665,11284.45863549274,1942.6797953209143,1787.7388038800136,-26.41000000000133,-13249.519514705535,0.0037034526122036804,0.1513797519754,43225,43.39062738418579
23,1962.3620292005005,1012.0261096605744,13.5,1913.1331890083397,0.9588020833333334,0.3537720000000001,10291.529841974434,1897.3436738910925,1842.5984691992273,-24.720000000001065,-12044.389955864339,0.0035082327560214165,0.14506326953579313,44477,42.97073554992676
24,1909.2001197654965,1154.572454308094,23.95,2435.580088071047,0.9594791666666667,0.3254860666666667,11646.52234893343,2432.5568402666845,1847.5747252884635,-25.150000000001132,-13992.30379472306,0.003323572748395728,0.13708732367426474,44662,42.54229807853699
25,1854.256087953831,1048.8381201044385,35.5,2776.286796723167,0.9603645833333333,0.2975719,10628.316688137938,2703.099731850722,1825.158649274728,-26.67000000000137,-13275.64898130947,0.003037288646840582,0.12911998702504762,44075,41.66441011428833
26,1873.3661254802178,992.9451697127937,31.55,1963.2671406430663,0.9574479166666666,0.26971030000000007,10053.765537654057,1922.3905139117658,1823.4779643065922,-22.560000000000727,-11903.707890392338,0.0030402444029334727,0.1283132354619101,43992,42.12356209754944
27,1909.4264472463797,981.8609660574413,33.4,2620.6131270141946,0.959453125,0.2418366666666667,9932.17196752002,2620.613127014185,1825.164140300775,-18.30000000000006,-12450.222787588427,0.002900264956341042,0.12596273836913363,44011,44.799997091293335
28,1930.5208084637195,1026.5900783289817,36.35,2378.5579473049766,0.959296875,0.21398583333333332,10402.80340005353,2378.5579473049784,1822.558191699976,-17.940000000000005,-12655.458730594735,0.0029020976770845943,0.12200320136726428,43975,44.23936486244202
29,1964.761980227629,950.2983028720627,56.75,1983.232551846294,0.959609375,0.18617173333333337,9673.833666810044,1983.2325518462794,1822.2713421382098,-17.359999999999914,-11497.215580566924,0.0026837591034891,0.11687369032591462,43917,41.75196409225464
30,1983.3253307932284,865.048955613577,28.4,2086.6535708135502,0.9590885416666667,0.1583,8835.724967178208,2086.653570813546,1827.359919750796,-18.270000000000056,-10748.143126949515,0.0026827834238034583,0.11645823456046289,44008,42.969993352890015
