metric,n_seeds,mean,std,min,max
gold_avg_scheduling_delay,10,764.9156657963447,18.384364718730332,745.6422976501306,808.0437336814622
late_gold_avg_delay,10,28.34499999999999,42.890846278016525,0.4,115.5
bronze_avg_waiting_time,10,1040.4586164481289,31.716205473648944,1018.4034047578048,1110.3196634603555
