episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,787.1605744125326,1018.6634849565795,80.9,0,25012.0,24962.0,43605,42181,0,1424
5,792.6148825065275,1017.1182562916676,136.65,0,24990.0,16310.0,43588,42181,0,1407
10,807.8237597911227,1016.9251396098305,118.35,0,24991.0,5196.0,43616,42181,0,1435
15,852.1207571801566,1167.6341361411105,845.3,5,45677.0,7720.0,43684,42176,0,1508
20,836.3903394255875,6398.879701837684,762.4,7048,46794.0,34724.0,40048,35133,0,4915
25,1062.8563968668407,1011.9936529803931,33.15,3,1846.0,26387.0,43731,42178,0,1553
30,776.394908616188,1018.4034047578047,2.3,6,45605.0,3610.0,43704,42175,0,1529
35,769.4138381201044,3491.1947649388667,0.9,4571,17636.0,31936.0,41268,37610,0,3658
40,979.857049608355,22955.439026790325,12.4,28248,34528.0,46642.0,18978,13933,0,5045
45,773.726501305483,1017.82171763143,58.95,0,24989.0,24985.0,43585,42181,0,1404
50,766.1723237597911,24819.222908312626,789.65,39963,17178.0,46255.0,9168,2218,0,6950
55,832.3537859007832,4049.0008856306426,1860.95,7799,26826.0,46752.0,36583,34382,0,2201
60,843.0842036553524,20250.62626386873,617.05,21822,46794.0,46752.0,25080,20359,0,4721
65,770.4614882506528,1020.2679524711555,1.4,0,5080.0,24941.0,43658,42181,0,1477
70,1010.3139686684073,5618.677581244311,0.4,17211,25025.0,22955.0,28372,24970,0,3402
75,1393.543733681462,9866.291569288298,1571.2,14325,34525.0,37416.0,30735,27856,0,2879
80,822.6586161879895,1052.895224974784,75.2,0,41717.0,22096.0,43657,42181,0,1476
85,797.9660574412533,1431.187753696278,1664.6,456,24949.0,24985.0,43309,41725,0,1584
90,745.6422976501306,1720.497330807646,0.4,318,1511.0,46789.0,43923,41863,0,2060
95,831.1298955613577,1183.8694186818864,0.4,0,1601.0,45963.0,43928,42181,0,1747
100,796.4040469973891,1287.592019483874,1226.6,4,34806.0,37700.0,43835,42177,0,1658
105,827.6292428198434,2867.8756426972373,9.55,10721,34705.0,26520.0,34681,31460,0,3221
110,759.9242819843342,1045.0004428153213,0.4,0,23391.0,23387.0,43680,42181,0,1499
115,915.1827676240209,1113.6396221309258,106.25,0,26785.0,4808.0,43560,42181,0,1379
120,850.2382506527415,1030.7325887475706,410.25,0,22874.0,24941.0,43600,42181,0,1419
125,769.3583550913838,1034.6185638023076,88.2,10,26582.0,7484.0,43727,42171,0,1556
130,902.9288511749347,15131.97436591306,967.65,22428,12113.0,38117.0,24204,19753,0,4451
135,1161.9954308093995,1075.0777140889074,843.2,5,34705.0,35041.0,43791,42176,0,1615
140,1010.168407310705,1364.060124480307,613.85,64,46794.0,46608.0,43972,42117,0,1855
145,999.1507832898172,1722.2899948338213,662.05,1015,34525.0,46718.0,43017,41166,0,1851
150,891.0946475195823,24703.541956751702,5003.0,39681,34527.0,45714.0,9326,2500,0,6826
