episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,1188.4497389033943,8418.798789638122,1689.9,9080,12269.0,25851.0,37098,33101,0,3997
5,909.9673629242819,1040.3976973603287,811.95,1,34556.0,24850.0,43737,42180,0,1557
10,929.5933420365535,23214.815198405864,18.35,38859,46794.0,45389.0,10019,3322,0,6697
15,873.5274151436031,1114.0774434795444,138.1,0,24932.0,6747.0,43615,42181,0,1434
20,870.3746736292428,1015.2519619178823,0.4,2,46794.0,2425.0,43708,42179,0,1529
25,1810.6886422976502,1560.3592954316218,237.65,3,4570.0,36933.0,43639,42178,0,1461
30,766.436684073107,1426.025068267362,243.1,318,3274.0,11217.0,43762,41863,0,1899
35,808.0437336814622,1110.3196634603557,0.4,6,1577.0,4107.0,43846,42175,0,1671
40,914.5313315926893,13402.143619769244,5426.2,28688,13484.0,36566.0,18520,13493,0,5027
45,798.6442558746736,1076.6099535043913,714.05,8,37490.0,19521.0,43694,42173,0,1521
50,801.6044386422976,1017.9060739501587,612.25,2,42308.0,34531.0,43708,42179,0,1529
55,898.8981723237598,1016.4675637777067,0.7,0,1673.0,2670.0,43632,42181,0,1451
60,927.1586161879895,1012.745233585082,0.4,0,23384.0,24948.0,43598,42181,0,1417
65,1721.0809399477807,984.0043789515117,660.4,1,46794.0,23832.0,43715,42180,0,1535
70,806.9869451697128,1021.9605156338409,710.0,2,36984.0,3610.0,43724,42179,0,1545
75,774.1024804177546,1103.7544589042782,49.8,2,24985.0,30635.0,43771,42179,0,1592
80,815.501958224543,15049.76380722773,892.6,17242,5965.0,34690.0,29144,24939,0,4205
85,745.6436031331592,1018.9383994686216,0.5,2,1511.0,23422.0,43718,42179,0,1539
90,1387.701044386423,994.7402150114394,0.4,2,2196.0,7795.0,43699,42179,0,1520
95,946.411227154047,2519.302516667077,617.25,2104,24991.0,9531.0,41829,40077,0,1752
100,800.2950391644908,1118.8201923786562,0.4,1798,26425.0,26401.0,42000,40383,0,1617
105,1118.5933420365536,1005.3605746758838,9.6,1,1905.0,46752.0,43699,42180,0,1519
110,1476.2715404699738,1765.2620974685724,1218.55,315,24991.0,24180.0,43149,41866,0,1283
115,844.4033942558747,1631.4973800093483,486.7,6,24948.0,28923.0,43116,42175,0,941
120,828.1109660574413,1343.3406725872715,0.95,0,1598.0,37040.0,43288,42181,0,1107
125,955.1344647519583,1010.9847228714113,1.6,0,1732.0,10505.0,43615,42181,0,1434
130,953.7624020887729,11270.207532780634,0.4,10224,1730.0,46747.0,35324,31957,0,3367
135,747.1194516971279,4612.484759772688,0.4,5196,3774.0,40253.0,39139,36985,0,2154
140,952.3459530026109,2258.145833845851,5.35,1187,1729.0,46608.0,42988,40994,0,1994
145,745.6638381201044,1019.3773278555439,2.05,1,1511.0,34820.0,43720,42180,0,1540
150,762.0966057441253,8058.682329208591,1.2,8593,1528.0,41051.0,36358,33588,0,2770
