seed,check,passed,detail
7,DQN never selects a masked-out action,True,"0 illegal actions in 20,000 steps"
7,Greedy policy is deterministic,True,1229.120757 vs 1229.120757
7,Q-values are finite,True,range -0.239..-0.205
