episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,2333.2330287206264,1534.0518585943073,1210.95,1,46794.0,12867.0,43710,42180,0,1530
5,930.5385117493472,1012.9844768628994,0.75,2,46794.0,4257.0,43695,42179,0,1516
10,880.105091383812,24683.45361509508,615.3,40376,46794.0,46654.0,8654,1805,0,6849
15,1079.253916449086,1574.5402346921203,673.25,6,46794.0,24913.0,43226,42175,0,1051
20,794.3661879895561,1671.6303722108785,1168.95,997,46794.0,24909.0,42995,41184,0,1811
25,762.4432114882507,1018.2469679450909,0.75,0,3250.0,24986.0,43621,42181,0,1440
30,785.0339425587467,1017.8361091293759,0.4,0,33944.0,9126.0,43606,42181,0,1425
35,860.9647519582245,1015.6297325887475,652.0,4,46794.0,9710.0,43702,42177,0,1525
40,1075.9588772845952,1111.1253659376614,0.55,0,1862.0,34478.0,43734,42181,0,1553
45,749.7140992167102,1071.6108883367365,13.6,0,1515.0,20116.0,43631,42181,0,1450
50,776.2983028720627,1017.9878225786612,0.65,9,24991.0,16480.0,43663,42172,0,1491
55,802.7069190600522,1016.7294890403208,0.65,0,1571.0,24968.0,43608,42181,0,1427
60,808.9575718015666,18064.324362222935,2310.45,27543,12269.0,34675.0,20717,14638,0,6079
65,814.6860313315927,22847.777362296736,1819.7,38697,46794.0,44975.0,10047,3484,0,6563
70,848.4412532637076,24829.724839479444,1827.85,40381,12269.0,46562.0,8696,1800,0,6896
75,880.6873368146214,24881.523850525227,1819.7,40567,46794.0,46752.0,8458,1614,0,6844
80,801.8270234986945,1021.796132746193,251.65,2,46794.0,5889.0,43715,42179,0,1536
85,838.6990861618799,13990.684149671579,1819.7,21040,46794.0,34759.0,26817,21141,0,5676
90,852.2578328981723,1065.2450490786982,0.4,8,1623.0,46747.0,43782,42173,0,1609
95,916.4249347258485,1026.3926049841325,468.45,5,37498.0,3610.0,43757,42176,0,1581
100,805.3498694516971,1098.2579645255726,199.6,1,34852.0,39208.0,43833,42180,0,1653
105,745.8283289817232,1019.3903663066742,14.65,0,1511.0,22958.0,43594,42181,0,1413
110,750.5352480417755,2582.604713523088,158.75,1664,3170.0,37473.0,42233,40517,0,1716
115,759.1671018276762,1018.3733179167999,2.75,0,1525.0,22758.0,43648,42181,0,1467
120,773.2062663185378,1030.9125193731702,224.85,0,39250.0,39254.0,43644,42181,0,1463
125,745.6422976501306,1026.3808457772639,0.4,0,1511.0,8884.0,43598,42181,0,1417
130,760.1181462140992,1018.3345961770277,0.4,0,1526.0,21376.0,43611,42181,0,1430
135,810.5933420365535,1016.4322615562498,13.2,0,1579.0,4765.0,43588,42181,0,1407
140,761.210182767624,2402.7354424463088,6.15,1746,1527.0,46752.0,42610,40435,0,2175
145,775.1338120104439,1122.9796058943639,358.05,0,35012.0,45904.0,43737,42181,0,1556
150,849.1207571801566,1015.4791015769146,0.95,0,1620.0,19404.0,43616,42181,0,1435
