episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,1208.956266318538,1414.0273069448203,1201.55,1355,24011.0,15965.0,43229,40826,0,2403
5,2129.6057441253265,5757.940170729908,1883.25,4584,37462.0,35003.0,41356,37597,0,3759
10,1025.6181462140992,1008.5914044625944,108.75,0,24990.0,24981.0,43613,42181,0,1432
15,902.9941253263707,1069.2982115181185,714.55,2,31775.0,26470.0,43757,42179,0,1578
20,924.4210182767624,3502.0638392088367,1056.0,3659,23182.0,31998.0,40563,38522,0,2041
25,807.2996083550914,1019.7442741518856,105.55,6,2016.0,24947.0,43704,42175,0,1529
30,789.9164490861618,1234.424487687274,895.75,3,24989.0,24986.0,43902,42178,0,1724
35,881.3283289817232,24959.611257349505,0.4,40635,46794.0,46718.0,8399,1546,0,6853
40,1092.5659268929503,24702.811040862012,0.4,40411,46794.0,46606.0,8577,1770,0,6807
45,799.6657963446476,1018.4531722797609,40.7,3,46794.0,19846.0,43711,42178,0,1533
50,745.6422976501306,1068.1064970847992,0.4,0,1511.0,30350.0,43711,42181,0,1530
55,1053.8544386422977,15662.305813181136,3015.5,17121,9332.0,43044.0,29201,25060,0,4141
60,902.6135770234987,1346.8616940146128,0.5,8,2385.0,46026.0,44123,42173,0,1950
65,917.7767624020888,1032.9663460355728,1.2,9,46794.0,24083.0,43778,42172,0,1606
70,961.6240208877284,1325.4174272429825,184.0,3821,34766.0,46789.0,40363,38360,0,2003
75,779.3276762402089,1207.519914389038,3.25,22,24991.0,24985.0,43967,42159,0,1808
80,803.5789817232376,2163.09741937071,471.9,1283,24991.0,14125.0,42732,40898,0,1834
85,1089.7082245430809,1552.3641910010087,1393.05,0,24991.0,12588.0,43819,42181,0,1638
90,962.396866840731,1710.911584540825,1.0,1158,9290.0,12297.0,42842,41023,0,1819
95,760.1651436031332,1029.5645649339467,0.4,0,1526.0,2706.0,43671,42181,0,1490
100,828.1338120104439,1041.660163841669,408.3,0,24991.0,2432.0,43661,42181,0,1480
105,762.1142297650131,1105.6177273733672,0.65,379,1528.0,24944.0,43461,41802,0,1659
110,871.9686684073107,24948.98408324928,1708.15,40578,37463.0,46771.0,8458,1603,0,6855
115,750.7793733681463,22707.339934561736,16.65,29212,9056.0,35707.0,18638,12969,0,5669
120,948.2571801566579,1675.1494993726783,2.85,1443,1724.0,46718.0,42754,40738,0,2016
125,783.6233681462141,1732.9966788850895,558.2,170,24981.0,46789.0,43636,42011,0,1625
130,778.4033942558747,3733.5382912248765,0.4,5962,24983.0,46747.0,38391,36219,0,2172
135,846.9105744125326,1015.7910157691456,94.2,9,24989.0,24943.0,43708,42172,0,1536
140,862.2486945169712,20765.015178725185,1078.9,24076,8343.0,34410.0,23554,18105,0,5449
145,760.7402088772845,2643.639892740289,0.4,2077,2337.0,46763.0,42105,40104,0,2001
150,776.3120104438642,1017.8994071194863,2.4,6,24984.0,3610.0,43726,42175,0,1551
