episode,total_reward,gold_delay,late_gold_delay,bronze_wait,cpu_util,epsilon,r_gold,r_bronze,r_util,r_noop,r_queue,loss,q_mag,steps,wall_time
1,1607.2445233627573,1879.8577023498694,11.15,3698.3137100543677,0.9585677083333334,0.9721143333333333,18891.127837143515,3471.7118994317125,1792.2725301071107,-40.030000000000605,-22507.8377433189,0.10254525657457109,0.7220547065529034,44030,24.692554235458374
2,1624.4957928730312,1822.1135770234987,9.85,3729.9341189205147,0.958515625,0.9442742666666667,18332.512372713907,3501.31304583136,1792.166855035272,-39.480000000000715,-21962.01648070782,0.031789827135071336,0.4750796359235633,43958,35.11918497085571
3,1686.485669038215,1728.1553524804178,7.45,3589.702624910822,0.9590520833333332,0.9162879,17413.48932581574,3389.4036507663263,1805.1813625283708,-39.380000000000734,-20882.208670071952,0.02650827191125099,0.40238369658519835,44189,38.884305000305176
4,1614.6712234954166,1748.6997389033943,7.1,3834.732514945017,0.958046875,0.8884579666666667,17590.62965891735,3601.6990577874226,1794.7080920901817,-39.69000000000067,-21332.675585299592,0.0228937070085381,0.37694585897023875,43942,36.701173543930054
5,1661.350175855589,1692.0731070496083,16.3,3697.3297498093434,0.9594375,0.8605982666666667,17036.9824751325,3492.508770203449,1798.6413117490738,-37.770000000001055,-20629.012381229244,0.01920789464917992,0.3317152976912857,43989,36.92172908782959
6,1712.0880590966806,1670.0515665796345,7.5,3464.065708873527,0.959984375,0.8326182333333334,16820.56555370495,3296.2148638342933,1807.2984986253844,-36.45000000000132,-20175.540857068074,0.014946908192462534,0.3089385683489802,44179,39.10722088813782
7,1718.240921995638,1598.939947780679,11.0,3335.336219833206,0.9614322916666667,0.8045001333333334,16081.531911616144,3189.9791384781843,1819.0699475087893,-36.64000000000128,-19335.700075607598,0.011829924459310517,0.2852842549616415,44397,39.589611768722534
8,1762.4192801189322,1495.2056135770235,11.6,3166.1698196757607,0.9601041666666666,0.7764175,15061.323435093214,3043.7969691751214,1820.4843508419642,-33.99000000000181,-18129.195474991142,0.008944784976687001,0.26946879646099753,44341,38.357237100601196
9,1784.305467090919,1466.2212793733681,9.1,2893.902900440355,0.95875,0.7482937000000001,14776.271316580995,2784.172574971057,1824.4196675578244,-33.47000000000191,-17567.08809201916,0.006634775344455731,0.24682584820172013,44406,41.260077238082886
10,1850.1186256862159,1365.400130548303,9.95,2843.080518585943,0.9609114583333334,0.7200134666666667,13771.754732180967,2780.5439248197777,1837.2953347849834,-31.41000000000211,-16508.06536609934,0.006510909054212781,0.2326110514155594,44653,43.04955005645752
11,1842.0045498275254,1467.1077023498694,13.7,2757.4966173829616,0.9583072916666666,0.6917135999999999,14757.842400668074,2716.4298752737072,1836.7949181869285,-29.500000000001812,-17439.56264430105,0.00563487621900759,0.22173069876740495,44684,43.05171823501587
12,1818.9071093933148,1417.1174934725848,12.65,2668.5325592265494,0.9582552083333333,0.6633998,14229.459336822838,2629.8304263327714,1839.7844586309266,-29.470000000001807,-16850.69711239379,0.00513397799408006,0.20967360296656737,44706,44.56636166572571
13,1800.9240518374238,1343.0515665796345,14.2,2775.837289970233,0.9559635416666666,0.6353678333333334,13542.793338252337,2682.0786735221077,1823.8911084030628,-30.51000000000197,-16217.32906833973,0.0051342571284924594,0.20234483098089032,44261,43.28068804740906
14,1843.5316650587515,1261.6370757180157,14.2,2513.924155575783,0.9579166666666666,0.6070306,12689.564059772023,2478.8976358581835,1845.8054600584353,-29.450000000001804,-15141.285490630307,0.0047694514789243464,0.18970888802358785,44743,42.212247371673584
15,1851.174694272972,1242.2016971279375,6.4,2475.132967600679,0.955625,0.5790347333333334,12585.460841416016,2381.06012448031,1822.7497060276787,-29.970000000001885,-14908.12597765076,0.0044124926364596,0.1779307197527396,44204,44.91103506088257
16,1853.7571995616102,1257.4882506527415,14.65,2548.930281187729,0.9584375,0.5509869333333334,12724.592781834544,2466.12194641935,1827.5439546857228,-29.710000000001845,-15134.79148337747,0.004150362860928066,0.17048497821127748,44286,44.60250186920166
