episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,1973.3557441253263,1024.17269797535,121.8,0,34810.0,33358.0,43629,42181,0,1448
5,1066.5802872062663,1008.4930010578366,81.2,4,46794.0,7484.0,43715,42177,0,1538
10,874.2415143603133,1223.7292676326601,974.7,0,35445.0,35394.0,43834,42181,0,1653
15,925.8590078328982,5067.479544392236,2437.35,4455,37792.0,33092.0,41385,37726,0,3659
20,1246.6044386422977,7135.159610322517,1386.25,12828,34821.0,34783.0,34369,29353,0,5016
25,835.4432114882507,1313.1665723634037,1139.0,2930,34718.0,33095.0,41229,39251,0,1978
30,828.5972584856397,7459.52822947674,1223.35,8043,46794.0,14328.0,37997,34138,0,3859
35,774.1951697127937,1019.0783537110384,88.95,0,24990.0,5193.0,43611,42181,0,1430
40,800.1318537859008,2159.9488056286746,892.95,5,34735.0,37464.0,43595,42176,0,1419
45,1165.8400783289817,5613.018795050309,0.4,17213,24947.0,46442.0,28343,24968,0,3375
50,795.4621409921671,1018.1514920416247,145.45,0,24013.0,5193.0,43604,42181,0,1423
55,821.4484334203655,24951.489458535267,26.35,40593,46794.0,46771.0,8449,1588,0,6861
60,758.9412532637076,3820.3841668921746,0.4,5120,1525.0,46787.0,40965,37061,0,3904
65,1263.5894255874673,999.3595168392826,0.4,0,2058.0,24334.0,43619,42181,0,1438
70,799.0966057441253,1042.878717803636,0.4,0,1567.0,24943.0,43669,42181,0,1488
75,1088.5045691906005,1006.2071883687175,1.9,1,24991.0,7484.0,43703,42180,0,1523
80,1069.8191906005222,1006.6922187507688,3.15,1,1853.0,24948.0,43712,42180,0,1532
85,808.4647519582245,1024.118280892519,1067.25,9,24991.0,6411.0,43710,42172,0,1538
90,1193.5006527415144,1068.2385298531328,1.85,0,24446.0,23874.0,43593,42181,0,1412
95,745.6422976501306,10978.354449063938,0.4,10559,1511.0,14556.0,35331,31622,0,3709
100,809.5456919060052,1646.3260104799626,69.65,1919,46794.0,46771.0,42393,40262,0,2131
105,834.9086161879895,11257.855076385644,0.4,10725,1605.0,15159.0,35347,31456,0,3891
110,1026.0763707571803,1036.8043494304902,48.35,0,23330.0,4325.0,43681,42181,0,1500
115,775.2003916449086,1518.2881251691308,0.4,163,46794.0,3712.0,43604,42018,0,1586
120,746.5215404699738,2118.759526679623,67.75,1539,1511.0,46789.0,42764,40642,0,2122
125,775.6325065274151,1611.273069448203,497.35,9,37517.0,30845.0,44006,42172,0,1834
130,855.9817232375979,24960.766931535833,3620.7,40636,40017.0,46752.0,8399,1545,0,6854
135,792.8276762402089,1017.1018229230731,1.9,0,24991.0,24942.0,43607,42181,0,1426
140,792.6729765013055,1017.107653324805,1.85,0,24991.0,5193.0,43593,42181,0,1412
145,1110.2669712793734,1025.0893256906688,101.65,0,26512.0,26464.0,43669,42181,0,1488
150,1145.3629242819843,1003.8152968092696,0.45,0,1933.0,24599.0,43603,42181,0,1422
