episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,991.2630548302872,1959.3027134738861,808.55,1055,24988.0,10114.0,42767,41126,0,1641
5,1030.0378590078328,22069.079362345936,1117.2,35770,46794.0,46625.0,12934,6411,0,6523
10,797.5,1178.9769736032868,610.75,0,19575.0,15738.0,43885,42181,0,1704
15,759.8590078328982,1020.0718836871756,115.5,2,19669.0,22251.0,43742,42179,0,1563
20,868.8838120104439,1015.4851779871584,165.65,2,17209.0,17134.0,43718,42179,0,1539
25,953.9164490861618,2564.6731038893945,148.45,3767,46794.0,37336.0,41412,38414,0,2998
30,848.684725848564,23072.56960810844,1221.95,28403,34525.0,42310.0,18865,13778,0,5087
35,1183.4523498694516,22676.027134738863,1231.25,28030,46794.0,46752.0,19143,14151,0,4992
40,1229.1207571801567,1000.6585893871928,0.75,0,2020.0,11684.0,43576,42181,0,1395
45,823.3446475195823,23485.67964771581,507.65,31782,46794.0,46537.0,15953,10399,0,5554
50,790.6560052219321,1140.5797436591306,779.1,5,38267.0,11096.0,43795,42176,0,1619
55,745.6422976501306,1018.8801692538561,0.4,0,1511.0,24986.0,43602,42181,0,1421
60,821.2167101827677,4798.737853329725,1956.2,14091,24989.0,24927.0,31257,28090,0,3167
65,933.4360313315927,24946.98054072671,8958.75,40639,34705.0,46717.0,8397,1542,0,6855
70,1012.9693211488251,24656.16625255234,9.1,40363,1793.0,46537.0,8622,1818,0,6804
75,793.7624020887729,1017.6029668626535,97.55,1,46794.0,24914.0,43719,42180,0,1539
80,933.5443864229765,24893.22312972029,2070.6,40577,46794.0,46708.0,8454,1604,0,6850
85,775.2134464751958,1028.096976555389,466.8,2,37486.0,3605.0,43695,42179,0,1516
90,780.8557441253264,1023.399960638638,433.6,4,46794.0,12576.0,43751,42177,0,1574
95,751.5672323759791,1018.6617136952939,6.25,0,1517.0,24962.0,43615,42181,0,1434
100,1071.8883812010445,1006.5844424217078,37.8,0,20097.0,24949.0,43593,42181,0,1412
105,767.6860313315927,1018.0493739083372,0.6,0,23393.0,5193.0,43598,42181,0,1417
110,760.6775456919061,22559.904770105044,0.4,38422,3738.0,46771.0,10217,3759,0,6458
115,1061.8994778067886,6251.173116189821,833.9,10763,8527.0,38075.0,34213,31418,0,2795
120,822.0665796344648,1724.4874166646166,11.6,0,29983.0,30138.0,43433,42181,0,1252
125,760.6090078328982,2233.1131885163227,548.25,1478,13483.0,19655.0,42920,40703,0,2217
130,994.5541775456919,2795.6204826687003,0.5,0,31672.0,12834.0,43104,42181,0,923
135,1222.496083550914,1000.9082634259146,0.6,0,2013.0,24421.0,43586,42181,0,1405
140,756.0593994778068,23435.96260670619,468.25,30917,9312.0,46319.0,16762,11264,0,5498
145,816.9849869451697,24473.195994981426,379.0,38126,15346.0,46771.0,10554,4055,0,6499
150,769.7428198433421,1017.9718566262393,0.85,0,24991.0,24961.0,43601,42181,0,1420
